sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,photo_status,image_path,landing_page,source_verification
PGE-MAN-0001,Manesty,B3B,SEALING RING,Drive Components,M-123,35123,32,Catalog photo,/assets/images/parts/manesty/pge-man-0001-sealing-ring-oem-35123.png,/parts/pge-man-0001/,Verified
PGE-MAN-0002,Manesty,B3B,BEARING FOR WORM SHAFT,Drive Components,M-51,35051,32,Catalog photo,/assets/images/parts/manesty/pge-man-0002-bearing-for-worm-shaft-oem-35051.png,/parts/pge-man-0002/,Verified
PGE-MAN-0003,Manesty,B3B,SPACER,Drive Components,M5-11,35113,32,Catalog photo,/assets/images/parts/manesty/pge-man-0003-spacer-oem-35113.png,/parts/pge-man-0003/,Verified
PGE-MAN-0004,Manesty,B3B,SPACER,Drive Components,M5-112,35112,32,Catalog photo,/assets/images/parts/manesty/pge-man-0004-spacer-oem-35112.png,/parts/pge-man-0004/,Verified
PGE-MAN-0005,Manesty,B3B,WORMSHAFT,Drive Components,M5-160,35160,32,Catalog photo,/assets/images/parts/manesty/pge-man-0005-wormshaft-oem-35160.png,/parts/pge-man-0005/,Verified
PGE-MAN-0006,Manesty,B3B,BEARING FOR WORM SHAFT,Drive Components,M5-52,35052,32,Catalog photo,/assets/images/parts/manesty/pge-man-0006-bearing-for-worm-shaft-oem-35052.png,/parts/pge-man-0006/,Verified
PGE-MAN-0007,Manesty,B3B,SEALING RING,Drive Components,M5-87,35087,32,Catalog photo,/assets/images/parts/manesty/pge-man-0007-sealing-ring-oem-35087.png,/parts/pge-man-0007/,Verified
PGE-MAN-0008,Manesty,B3B,BRONZE WORM,Drive Components,WG-4,"35042, A-213-848-1",32,Catalog photo,/assets/images/parts/manesty/pge-man-0008-bronze-worm-oem-35042-a-213-848-1.png,/parts/pge-man-0008/,Verified
PGE-MAN-0009,Manesty,B3B,FLANGED SPACER,Drive Components,M-115,35115,32,Catalog photo,/assets/images/parts/manesty/pge-man-0009-flanged-spacer-oem-35115.png,/parts/pge-man-0009/,Verified
PGE-MAN-0010,Manesty,B3B,REAR LOWER GUARD TOP PLATE,Guarding,M5-167,35167,32,Catalog photo,/assets/images/parts/manesty/pge-man-0010-rear-lower-guard-top-plate-oem-35167.png,/parts/pge-man-0010/,Verified
PGE-MAN-0011,Manesty,B3B,TURRET GUARD SET (3 PCS),Guarding,M5-456,Not listed in source catalog,32,Catalog photo,/assets/images/parts/manesty/pge-man-0011-turret-guard-set-3-pcs-oem-n-a.png,/parts/pge-man-0011/,Verified
PGE-MAN-0012,Manesty,B3B,SIDE UPPER GUIDE PIECE,Guarding,M5-5,Not listed in source catalog,32,Catalog photo,/assets/images/parts/manesty/pge-man-0012-side-upper-guide-piece-oem-n-a.png,/parts/pge-man-0012/,Verified
PGE-MAN-0013,Manesty,B3B,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-15,1150,32,Catalog photo,/assets/images/parts/manesty/pge-man-0013-drip-lubricator-oem-1150.png,/parts/pge-man-0013/,Verified
PGE-MAN-0014,Manesty,B3B,HYDRAULIC TONNAGE GAUGE SYSTEM,Hydraulic & Lubrication Components,M-177,Not listed in source catalog,32,Catalog photo,/assets/images/parts/manesty/pge-man-0014-hydraulic-tonnage-gauge-system-oem-n-a.png,/parts/pge-man-0014/,Verified
PGE-MAN-0015,Manesty,B3B,UPPER OIL PAD,Hydraulic & Lubrication Components,M-72,35072,32,Catalog photo,/assets/images/parts/manesty/pge-man-0015-upper-oil-pad-oem-35072.png,/parts/pge-man-0015/,Verified
PGE-MAN-0016,Manesty,B3B,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-78,36178,33,Catalog photo,/assets/images/parts/manesty/pge-man-0016-drip-lubricator-oem-36178.png,/parts/pge-man-0016/,Verified
PGE-MAN-0017,Manesty,B3B,PUNCH LOADING PLUG,Lower Cam Tracks,M-10,35010,33,Catalog photo,/assets/images/parts/manesty/pge-man-0017-punch-loading-plug-oem-35010.png,/parts/pge-man-0017/,Verified
PGE-MAN-0018,Manesty,B3B,WEIGHT ADJUST CAM SCREW,Lower Cam Tracks,M5-148,35148,33,Catalog photo,/assets/images/parts/manesty/pge-man-0018-weight-adjust-cam-screw-oem-35148.png,/parts/pge-man-0018/,Verified
PGE-MAN-0019,Manesty,B3B,EJECTION CAM,Lower Cam Tracks,M5-22,35022,33,Catalog photo,/assets/images/parts/manesty/pge-man-0019-ejection-cam-oem-35022.png,/parts/pge-man-0019/,Verified
PGE-MAN-0020,Manesty,B3B,LOWER CAM TRACK,Lower Cam Tracks,M5-72,35172,33,Catalog photo,/assets/images/parts/manesty/pge-man-0020-lower-cam-track-oem-35172.png,/parts/pge-man-0020/,Verified
PGE-MAN-0021,Manesty,B3B,PUNCH ADJUSTER SCREW,Lower Cam Tracks,M-94,36094,33,Catalog photo,/assets/images/parts/manesty/pge-man-0021-punch-adjuster-screw-oem-36094.png,/parts/pge-man-0021/,Verified
PGE-MAN-0022,Manesty,B3B,FULCRUM PIN,Pressure Rolls & Components,M5-23,35023,33,Catalog photo,/assets/images/parts/manesty/pge-man-0022-fulcrum-pin-oem-35023.png,/parts/pge-man-0022/,Verified
PGE-MAN-0023,Manesty,B3B,UPPER ROLL PIN,Pressure Rolls & Components,M5-8,35008,33,Catalog photo,/assets/images/parts/manesty/pge-man-0023-upper-roll-pin-oem-35008.png,/parts/pge-man-0023/,Verified
PGE-MAN-0024,Manesty,B3B,LOWER ROLL PIN,Pressure Rolls & Components,M-9,35009,33,Catalog photo,/assets/images/parts/manesty/pge-man-0024-lower-roll-pin-oem-35009.png,/parts/pge-man-0024/,Verified
PGE-MAN-0025,Manesty,B3B,UPPER OR LOWER PRESSURE ROLL,Pressure Rolls & Components,PR-7,35007,33,Catalog photo,/assets/images/parts/manesty/pge-man-0025-upper-or-lower-pressure-roll-oem-35007.png,/parts/pge-man-0025/,Verified
PGE-MAN-0026,Manesty,B3B,DUST NOZZLE ASSEMBLY,Product Control,M-117,35117,33,Catalog photo,/assets/images/parts/manesty/pge-man-0026-dust-nozzle-assembly-oem-35117.png,/parts/pge-man-0026/,Verified
PGE-MAN-0027,Manesty,B3B,FEED FRAME LOCKNUT,Product Control,M-118,36118,33,Catalog photo,/assets/images/parts/manesty/pge-man-0027-feed-frame-locknut-oem-36118.png,/parts/pge-man-0027/,Verified
PGE-MAN-0028,Manesty,B3B,HOPPER SPINDLE - COMPLETE,Product Control,M-124,35124,33,Catalog photo,/assets/images/parts/manesty/pge-man-0028-hopper-spindle-complete-oem-35124.png,/parts/pge-man-0028/,Verified
PGE-MAN-0029,Manesty,B3B,FEED FRAME LOCKNUT - FRONT,Product Control,M5-041,35041,33,Catalog photo,/assets/images/parts/manesty/pge-man-0029-feed-frame-locknut-front-oem-35041.png,/parts/pge-man-0029/,Verified
PGE-MAN-0030,Manesty,B3B,FEED FRAME STUD,Product Control,M5-110,35110,33,Catalog photo,/assets/images/parts/manesty/pge-man-0030-feed-frame-stud-oem-35110.png,/parts/pge-man-0030/,Verified
PGE-MAN-0031,Manesty,B3B,SCRAPER BLADE,Product Control,M5-16,35016,34,Catalog photo,/assets/images/parts/manesty/pge-man-0031-scraper-blade-oem-35016.png,/parts/pge-man-0031/,Verified
PGE-MAN-0032,Manesty,B3B,TAKE-OFF PLATE,Product Control,M5-17,35017,34,Catalog photo,/assets/images/parts/manesty/pge-man-0032-take-off-plate-oem-35017.png,/parts/pge-man-0032/,Verified
PGE-MAN-0033,Manesty,B3B,HOPPER CLAMP SCREW,Product Control,M-67,36067,34,Catalog photo,/assets/images/parts/manesty/pge-man-0033-hopper-clamp-screw-oem-36067.png,/parts/pge-man-0033/,Verified
PGE-MAN-0034,Manesty,B3B,HOPPER,Product Control,M-103,35103,34,Catalog photo,/assets/images/parts/manesty/pge-man-0034-hopper-oem-35103.png,/parts/pge-man-0034/,Verified
PGE-MAN-0037,Manesty,B3B,FEED FRAME,Product Control,SB1-57,C-220-057-1,34,Catalog photo,/assets/images/parts/manesty/pge-man-0037-feed-frame-oem-c-220-057-1.png,/parts/pge-man-0037/,Verified
PGE-MAN-0038,Manesty,B3B,FEED FRAME- ASSEMBLY,Product Control,SB1-57/A,C-220-057-1,34,Catalog photo,/assets/images/parts/manesty/pge-man-0038-feed-frame-assembly-oem-c-220-057-1.png,/parts/pge-man-0038/,Verified
PGE-MAN-0039,Manesty,B3B,FEED FRAME- ALUMINUM,Product Control,SB1-57/AL,C-220-157-1A,34,Catalog photo,/assets/images/parts/manesty/pge-man-0039-feed-frame-aluminum-oem-c-220-157-1a.png,/parts/pge-man-0039/,Verified
PGE-MAN-0041,Manesty,B3B,SCRAPER SPRING,Product Control,SP-8,"37077, 35018, 36062",34,Catalog photo,/assets/images/parts/manesty/pge-man-0041-scraper-spring-oem-37077-35018-36062.png,/parts/pge-man-0041/,Verified
PGE-MAN-0042,Manesty,B3B,FORK PIN,Thickness/Hardness Components,M-24,35024,34,Catalog photo,/assets/images/parts/manesty/pge-man-0042-fork-pin-oem-35024.png,/parts/pge-man-0042/,Verified
PGE-MAN-0043,Manesty,B3B,DIE LOCK SCREW,Turret Hardware,DL-50/1,Not listed in source catalog,34,Catalog photo,/assets/images/parts/manesty/pge-man-0043-die-lock-screw-oem-n-a.png,/parts/pge-man-0043/,Verified
PGE-MAN-0044,Manesty,B3B,DIE LOCK SCREW,Turret Hardware,DL-50/2,44775,34,Catalog photo,/assets/images/parts/manesty/pge-man-0044-die-lock-screw-oem-44775.png,/parts/pge-man-0044/,Verified
PGE-MAN-0045,Manesty,B3B,DIE LOCK SCREW,Turret Hardware,DL-56,"36156, AD-0",34,Catalog photo,/assets/images/parts/manesty/pge-man-0045-die-lock-screw-oem-36156-ad-0.png,/parts/pge-man-0045/,Verified
PGE-MAN-0046,Manesty,B3B,LOWER PUNCH RETAINER SPRING,Turret Hardware,M-518,38518,35,Catalog photo,/assets/images/parts/manesty/pge-man-0046-lower-punch-retainer-spring-oem-38518.png,/parts/pge-man-0046/,Verified
PGE-MAN-0047,Manesty,B3B,LOWER PUNCH RETAINER,Turret Hardware,M-519,38519,35,Catalog photo,/assets/images/parts/manesty/pge-man-0047-lower-punch-retainer-oem-38519.png,/parts/pge-man-0047/,Verified
PGE-MAN-0048,Manesty,B3B,LOWER PUNCH RETAINER SCREW,Turret Hardware,M-69,39690,35,Catalog photo,/assets/images/parts/manesty/pge-man-0048-lower-punch-retainer-screw-oem-39690.png,/parts/pge-man-0048/,Verified
PGE-MAN-0049,Manesty,B3B,PUNCH ADJUSTER SCREW,Turret Hardware,M-94,36094,35,Catalog photo,/assets/images/parts/manesty/pge-man-0049-punch-adjuster-screw-oem-36094.png,/parts/pge-man-0049/,Verified
PGE-MAN-0050,Manesty,B3B,TURRET HEAD BUSH - SET (2),Turret Hardware,M-182,37182,35,Catalog photo,/assets/images/parts/manesty/pge-man-0050-turret-head-bush-set-2-oem-37182.png,/parts/pge-man-0050/,Verified
PGE-MAN-0051,Manesty,B3B,COLUMN,Turret Hardware,M-129,35129,35,Catalog photo,/assets/images/parts/manesty/pge-man-0051-column-oem-35129.png,/parts/pge-man-0051/,Verified
PGE-MAN-0054,Manesty,B3B,UPPER CAM BODY W/TAKE OUT PLATE,Upper Cam Tracks,M5-200,35200,35,Catalog photo,/assets/images/parts/manesty/pge-man-0054-upper-cam-body-w-take-out-plate-oem-35200.png,/parts/pge-man-0054/,Verified
PGE-MAN-0055,Manesty,B3B,ANTI FLIGHT RAIL,Upper Cam Tracks,M5-200/AFR,Not listed in source catalog,35,Catalog photo,/assets/images/parts/manesty/pge-man-0055-anti-flight-rail-oem-n-a.png,/parts/pge-man-0055/,Verified
PGE-MAN-0056,Manesty,B3B,GUIDE PIECE,Upper Cam Tracks,M5-26,35126,35,Catalog photo,/assets/images/parts/manesty/pge-man-0056-guide-piece-oem-35126.png,/parts/pge-man-0056/,Verified
PGE-MAN-0057,Manesty,B3B,TAKE OUT PLATE,Upper Cam Tracks,M5-66,35166,35,Catalog photo,/assets/images/parts/manesty/pge-man-0057-take-out-plate-oem-35166.png,/parts/pge-man-0057/,Verified
PGE-MAN-0058,Manesty,B3B,UPPER LOWERING CAM - EU OR IPT,Upper Cam Tracks,M5-91,35091,35,Catalog photo,/assets/images/parts/manesty/pge-man-0058-upper-lowering-cam-eu-or-ipt-oem-35091.png,/parts/pge-man-0058/,Verified
PGE-MAN-0059,Manesty,B3B,UPPER LIFTING CAM - EU OR IPT,Weight Adjusting Components,M5-92,35092,35,Catalog photo,/assets/images/parts/manesty/pge-man-0059-upper-lifting-cam-eu-or-ipt-oem-35092.png,/parts/pge-man-0059/,Verified
PGE-MAN-0060,Manesty,B3B,LOCKNUT FOR WEIGHT ADJUSTER,Weight Adjusting Components,M-153,35153,35,Catalog photo,/assets/images/parts/manesty/pge-man-0060-locknut-for-weight-adjuster-oem-35153.png,/parts/pge-man-0060/,Verified
PGE-MAN-0061,Manesty,B3B,1/2” BEARING FOR WORM SHAFT,Drive Components,M9-788,Not listed in source catalog,36,Catalog photo,/assets/images/parts/manesty/pge-man-0061-1-2-bearing-for-worm-shaft-oem-n-a.png,/parts/pge-man-0061/,Verified
PGE-MAN-0062,Manesty,B3B,LOWER CAM TRACK PULLDOWN - SHALLOW,Lower Cam Tracks,SD4-240-.31,Not listed in source catalog,36,Catalog photo,/assets/images/parts/manesty/pge-man-0062-lower-cam-track-pulldown-shallow-oem-n-a.png,/parts/pge-man-0062/,Verified
PGE-MAN-0063,Manesty,B3B,PUNCH LOADING PLUG,Lower Cam Tracks,M-481,Not listed in source catalog,36,Catalog photo,/assets/images/parts/manesty/pge-man-0063-punch-loading-plug-oem-n-a.png,/parts/pge-man-0063/,Verified
PGE-MAN-0064,Manesty,B3B,FEED FRAME-CLOSED,Product Control,M-231,6790231,36,Catalog photo,/assets/images/parts/manesty/pge-man-0064-feed-frame-closed-oem-6790231.png,/parts/pge-man-0064/,Verified
PGE-MAN-0065,Manesty,B3B,FEED FRAME-OPEN,Product Control,M-231/1,Not listed in source catalog,36,Catalog photo,/assets/images/parts/manesty/pge-man-0065-feed-frame-open-oem-n-a.png,/parts/pge-man-0065/,Verified
PGE-MAN-0066,Manesty,B3B,L.H PADDLE,Product Control,M9-727,Not listed in source catalog,36,Catalog photo,/assets/images/parts/manesty/pge-man-0066-l-h-paddle-oem-n-a.png,/parts/pge-man-0066/,Verified
PGE-MAN-0067,Manesty,B3B,HIGH LEVEL INSERT,Upper Cam Tracks,M6-244,35792,36,Catalog photo,/assets/images/parts/manesty/pge-man-0067-high-level-insert-oem-35792.png,/parts/pge-man-0067/,Verified
PGE-MAN-0068,Manesty,B3B,TAKE OUT PIECE,Upper Cam Tracks,M6-245,36792,36,Catalog photo,/assets/images/parts/manesty/pge-man-0068-take-out-piece-oem-36792.png,/parts/pge-man-0068/,Verified
PGE-MAN-0069,Manesty,B3B,HIGH LEVEL INSERT 2,Upper Cam Tracks,M6-246,37792,36,Catalog photo,/assets/images/parts/manesty/pge-man-0069-high-level-insert-2-oem-37792.png,/parts/pge-man-0069/,Verified
PGE-MAN-0070,Manesty,B4,WEIGHT ADJUSTING RAMP WEDGE PIECE,Weight Adjusting Components,M-27,37027,37,Catalog photo,/assets/images/parts/manesty/pge-man-0070-weight-adjusting-ramp-wedge-piece-oem-37027.png,/parts/pge-man-0070/,Verified
PGE-MAN-0071,Manesty,B4,WEIGHT ADJUSTING CAM,Weight Adjusting Components,M5-147,35147,37,Catalog photo,/assets/images/parts/manesty/pge-man-0071-weight-adjusting-cam-oem-35147.png,/parts/pge-man-0071/,Verified
PGE-MAN-0072,Manesty,B4,PIN FOR WEDGE PIECE,Weight Adjusting Components,M-82,91882,37,Catalog photo,/assets/images/parts/manesty/pge-man-0072-pin-for-wedge-piece-oem-91882.png,/parts/pge-man-0072/,Verified
PGE-MAN-0073,Manesty,B4,SPRING FOR WEDGE SCREW,Weight Adjusting Components,MB3-01,37019,37,Catalog photo,/assets/images/parts/manesty/pge-man-0073-spring-for-wedge-screw-oem-37019.png,/parts/pge-man-0073/,Verified
PGE-MAN-0074,Manesty,BB3B,FLANGED SPACER,Drive Components,M-108,37108,38,Catalog photo,/assets/images/parts/manesty/pge-man-0074-flanged-spacer-oem-37108.png,/parts/pge-man-0074/,Verified
PGE-MAN-0075,Manesty,BB3B,FLANGED SPACER,Drive Components,M-115,35115,38,Catalog photo,/assets/images/parts/manesty/pge-man-0075-flanged-spacer-oem-35115.png,/parts/pge-man-0075/,Verified
PGE-MAN-0076,Manesty,BB3B,SEALING RING,Drive Components,M-123,35123,38,Catalog photo,/assets/images/parts/manesty/pge-man-0076-sealing-ring-oem-35123.png,/parts/pge-man-0076/,Verified
PGE-MAN-0077,Manesty,BB3B,BEARING FOR WORM SHAFT,Drive Components,M-371,36371,38,Catalog photo,/assets/images/parts/manesty/pge-man-0077-bearing-for-worm-shaft-oem-36371.png,/parts/pge-man-0077/,Verified
PGE-MAN-0078,Manesty,BB3B,BEARING FOR WORM SHAFT,Drive Components,M-51,35051,38,Catalog photo,/assets/images/parts/manesty/pge-man-0078-bearing-for-worm-shaft-oem-35051.png,/parts/pge-man-0078/,Verified
PGE-MAN-0079,Manesty,BB3B,SPACER,Drive Components,MB3-109,37109,38,Catalog photo,/assets/images/parts/manesty/pge-man-0079-spacer-oem-37109.png,/parts/pge-man-0079/,Verified
PGE-MAN-0080,Manesty,BB3B,SPACER,Drive Components,MB3-110,37110,38,Catalog photo,/assets/images/parts/manesty/pge-man-0080-spacer-oem-37110.png,/parts/pge-man-0080/,Verified
PGE-MAN-0081,Manesty,BB3B,SEALING RING,Drive Components,MB3-114,37114,38,Catalog photo,/assets/images/parts/manesty/pge-man-0081-sealing-ring-oem-37114.png,/parts/pge-man-0081/,Verified
PGE-MAN-0082,Manesty,BB3B,TAPERED WORMSHAFT,Drive Components,MB3-147,37147,38,Catalog photo,/assets/images/parts/manesty/pge-man-0082-tapered-wormshaft-oem-37147.png,/parts/pge-man-0082/,Verified
PGE-MAN-0083,Manesty,BB3B,BEARING FOR WORM SHAFT,Drive Components,MB3-59,37059,38,Catalog photo,/assets/images/parts/manesty/pge-man-0083-bearing-for-worm-shaft-oem-37059.png,/parts/pge-man-0083/,Verified
PGE-MAN-0084,Manesty,BB3B,BRONZE WORM,Drive Components,WG-4,"35042, A-213-848-1",38,Catalog photo,/assets/images/parts/manesty/pge-man-0084-bronze-worm-oem-35042-a-213-848-1.png,/parts/pge-man-0084/,Verified
PGE-MAN-0085,Manesty,BB3B,LEFT HAND SIDE TOP COVER,Guarding,MB3-193,37193,38,Catalog photo,/assets/images/parts/manesty/pge-man-0085-left-hand-side-top-cover-oem-37193.png,/parts/pge-man-0085/,Verified
PGE-MAN-0086,Manesty,BB3B,FRONT TOP COVER,Guarding,MB3-194,37194,38,Catalog photo,/assets/images/parts/manesty/pge-man-0086-front-top-cover-oem-37194.png,/parts/pge-man-0086/,Verified
PGE-MAN-0087,Manesty,BB3B,REAR TOP COVER,Guarding,MB3-195,37195,38,Catalog photo,/assets/images/parts/manesty/pge-man-0087-rear-top-cover-oem-37195.png,/parts/pge-man-0087/,Verified
PGE-MAN-0088,Manesty,BB3B,TURRET GUARD SET (4 PCS),Guarding,TG-98,Not listed in source catalog,38,Catalog photo,/assets/images/parts/manesty/pge-man-0088-turret-guard-set-4-pcs-oem-n-a.png,/parts/pge-man-0088/,Verified
PGE-MAN-0089,Manesty,BB3B,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-15,1150,39,Catalog photo,/assets/images/parts/manesty/pge-man-0089-drip-lubricator-oem-1150.png,/parts/pge-man-0089/,Verified
PGE-MAN-0090,Manesty,BB3B,HYDRAULIC TONNAGE GAUGE SYSTEM,Hydraulic & Lubrication Components,M-177,35177,39,Catalog photo,/assets/images/parts/manesty/pge-man-0090-hydraulic-tonnage-gauge-system-oem-35177.png,/parts/pge-man-0090/,Verified
PGE-MAN-0091,Manesty,BB3B,UPPER OIL PAD,Hydraulic & Lubrication Components,M-72,35072,39,Catalog photo,/assets/images/parts/manesty/pge-man-0091-upper-oil-pad-oem-35072.png,/parts/pge-man-0091/,Verified
PGE-MAN-0092,Manesty,BB3B,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-78,36178,39,Catalog photo,/assets/images/parts/manesty/pge-man-0092-drip-lubricator-oem-36178.png,/parts/pge-man-0092/,Verified
PGE-MAN-0093,Manesty,BB3B,PUNCH LOADING PLUG,Lower Cam Tracks,M-10,35010,39,Catalog photo,/assets/images/parts/manesty/pge-man-0093-punch-loading-plug-oem-35010.png,/parts/pge-man-0093/,Verified
PGE-MAN-0094,Manesty,BB3B,LOWER CAM TRACK - EU B,Lower Cam Tracks,MB3-015,37015,39,Catalog photo,/assets/images/parts/manesty/pge-man-0094-lower-cam-track-eu-b-oem-37015.png,/parts/pge-man-0094/,Verified
PGE-MAN-0095,Manesty,BB3B,EJECTION PAD,Lower Cam Tracks,MB3-016,37016,39,Catalog photo,/assets/images/parts/manesty/pge-man-0095-ejection-pad-oem-37016.png,/parts/pge-man-0095/,Verified
PGE-MAN-0096,Manesty,BB3B,BLOCK ON LOWER CAM,Lower Cam Tracks,MB3-209,37209,39,Catalog photo,/assets/images/parts/manesty/pge-man-0096-block-on-lower-cam-oem-37209.png,/parts/pge-man-0096/,Verified
PGE-MAN-0097,Manesty,BB3B,GUIDE PIECE,Lower Cam Tracks,MB3-36,37136,39,Catalog photo,/assets/images/parts/manesty/pge-man-0097-guide-piece-oem-37136.png,/parts/pge-man-0097/,Verified
PGE-MAN-0098,Manesty,BB3B,LOWER CAM TRACK - US ‘B’,Lower Cam Tracks,MB3-74,37174,39,Catalog photo,/assets/images/parts/manesty/pge-man-0098-lower-cam-track-us-b-oem-37174.png,/parts/pge-man-0098/,Verified
PGE-MAN-0099,Manesty,BB3B,LOWER CAM TRACK - BRONZE - IPT B,Lower Cam Tracks,MB3-74/B,37174,39,Catalog photo,/assets/images/parts/manesty/pge-man-0099-lower-cam-track-bronze-ipt-b-oem-37174.png,/parts/pge-man-0099/,Verified
PGE-MAN-0100,Manesty,BB3B,LOWER CAM TRACK - SHALLOW FILL,Lower Cam Tracks,MB3-74/SF,Not listed in source catalog,39,Catalog photo,/assets/images/parts/manesty/pge-man-0100-lower-cam-track-shallow-fill-oem-n-a.png,/parts/pge-man-0100/,Verified
PGE-MAN-0101,Manesty,BB3B,SHALLOW FILL CAM W/NON DROP SUPPORT - 9/16” FILL - IPT B,Lower Cam Tracks,MB3-74/SF2,Not listed in source catalog,39,Catalog photo,/assets/images/parts/manesty/pge-man-0101-shallow-fill-cam-w-non-drop-support-9-16-fill-ipt-b-oem-n-a.png,/parts/pge-man-0101/,Verified
PGE-MAN-0102,Manesty,BB3B,LOWER CAM TRACK - WITHOUT EJECTION ADJ.- IPT B,Lower Cam Tracks,MB3-74/1,37174,39,Catalog photo,/assets/images/parts/manesty/pge-man-0102-lower-cam-track-without-ejection-adj-ipt-b-oem-37174.png,/parts/pge-man-0102/,Verified
PGE-MAN-0108,Manesty,BB3B,LOWER ROLL PIN,Pressure Rolls & Components,M-9,35009,40,Catalog photo,/assets/images/parts/manesty/pge-man-0108-lower-roll-pin-oem-35009.png,/parts/pge-man-0108/,Verified
PGE-MAN-0109,Manesty,BB3B,FULCRUM PIN,Pressure Rolls & Components,MB3-06,37006,40,Catalog photo,/assets/images/parts/manesty/pge-man-0109-fulcrum-pin-oem-37006.png,/parts/pge-man-0109/,Verified
PGE-MAN-0110,Manesty,BB3B,UPPER PRESSURE ROLL PIN,Pressure Rolls & Components,MB3-47,37047,40,Catalog photo,/assets/images/parts/manesty/pge-man-0110-upper-pressure-roll-pin-oem-37047.png,/parts/pge-man-0110/,Verified
PGE-MAN-0111,Manesty,BB3B,UPPER OR LOWER PRESSURE ROLL,Pressure Rolls & Components,PR-7,35007,40,Catalog photo,/assets/images/parts/manesty/pge-man-0111-upper-or-lower-pressure-roll-oem-35007.png,/parts/pge-man-0111/,Verified
PGE-MAN-0112,Manesty,BB3B,DUST NOZZLE ASSEMBLY,Product Control,M-117,35117,40,Catalog photo,/assets/images/parts/manesty/pge-man-0112-dust-nozzle-assembly-oem-35117.png,/parts/pge-man-0112/,Verified
PGE-MAN-0113,Manesty,BB3B,HOPPER SPINDLE - COMPLETE,Product Control,M-124,35124,40,Catalog photo,/assets/images/parts/manesty/pge-man-0113-hopper-spindle-complete-oem-35124.png,/parts/pge-man-0113/,Verified
PGE-MAN-0114,Manesty,BB3B,HOPPER CLAMP SCREW,Product Control,M-67,36067,40,Catalog photo,/assets/images/parts/manesty/pge-man-0114-hopper-clamp-screw-oem-36067.png,/parts/pge-man-0114/,Verified
PGE-MAN-0115,Manesty,BB3B,HOPPER LINK STUD,Product Control,MB3-035,37035,40,Catalog photo,/assets/images/parts/manesty/pge-man-0115-hopper-link-stud-oem-37035.png,/parts/pge-man-0115/,Verified
PGE-MAN-0116,Manesty,BB3B,TABLET CHUTE ASSEMBLY (CHUTE & DEFLECTOR STRIP),Product Control,MB3-096,37096,40,Catalog photo,/assets/images/parts/manesty/pge-man-0116-tablet-chute-assembly-chute-deflector-strip-oem-37096.png,/parts/pge-man-0116/,Verified
PGE-MAN-0117,Manesty,BB3B,DUST NOZZLE BRACKET COLLAR SET,Product Control,MB3-119,35119,40,Catalog photo,/assets/images/parts/manesty/pge-man-0117-dust-nozzle-bracket-collar-set-oem-35119.png,/parts/pge-man-0117/,Verified
PGE-MAN-0118,Manesty,BB3B,GUIDE STRIP,Product Control,MB3-167,37167,40,Catalog photo,/assets/images/parts/manesty/pge-man-0118-guide-strip-oem-37167.png,/parts/pge-man-0118/,Verified
PGE-MAN-0119,Manesty,BB3B,FEED FRAME MOUNT,Product Control,MB3-178,37178,41,Catalog photo,/assets/images/parts/manesty/pge-man-0119-feed-frame-mount-oem-37178.png,/parts/pge-man-0119/,Verified
PGE-MAN-0120,Manesty,BB3B,FEED FRAME LOCKSCREW,Product Control,MB3-179,37179,41,Catalog photo,/assets/images/parts/manesty/pge-man-0120-feed-frame-lockscrew-oem-37179.png,/parts/pge-man-0120/,Verified
PGE-MAN-0121,Manesty,BB3B,SCRAPER BLADE - REAR - SEE SB1-79,Product Control,MB3-20,37220,41,Catalog photo,/assets/images/parts/manesty/pge-man-0121-scraper-blade-rear-see-sb1-79-oem-37220.png,/parts/pge-man-0121/,Verified
PGE-MAN-0122,Manesty,BB3B,SCRAPER BLADE - FRONT,Product Control,MB3-21,37221,41,Catalog photo,/assets/images/parts/manesty/pge-man-0122-scraper-blade-front-oem-37221.png,/parts/pge-man-0122/,Verified
PGE-MAN-0123,Manesty,BB3B,FEED FRAME ANGLE PIECE,Product Control,MB3-57,37157,41,Catalog photo,/assets/images/parts/manesty/pge-man-0123-feed-frame-angle-piece-oem-37157.png,/parts/pge-man-0123/,Verified
PGE-MAN-0124,Manesty,BB3B,TAKE-OFF PLATE - FRONT,Product Control,MB3-79,37079,41,Catalog photo,/assets/images/parts/manesty/pge-man-0124-take-off-plate-front-oem-37079.png,/parts/pge-man-0124/,Verified
PGE-MAN-0125,Manesty,BB3B,TAKE-OFF PLATE - REAR,Product Control,MB3-80,37080,41,Catalog photo,/assets/images/parts/manesty/pge-man-0125-take-off-plate-rear-oem-37080.png,/parts/pge-man-0125/,Verified
PGE-MAN-0126,Manesty,BB3B,FEED FRAME - FRONT ASSEMBLY,Product Control,MB3-81/F/A,37081,41,Catalog photo,/assets/images/parts/manesty/pge-man-0126-feed-frame-front-assembly-oem-37081.png,/parts/pge-man-0126/,Verified
