position,sku,make,model,part_name,category,oem_number,oem_status,catalog_page,image_path,landing_page
178,PGE-FET-178,Fette,3090i,18MM FILL CAM IPT 1”,Lower Cam Tracks,3112895,catalog-supplied,32,/assets/images/parts/fette/pge-fet-178.png,/parts/pge-fet-178/
179,PGE-FET-179,Fette,3090i,8MM FILL CAM - EU 19,Lower Cam Tracks,Needed,needed,32,/assets/images/parts/fette/pge-fet-179.png,/parts/pge-fet-179/
180,PGE-FET-180,Fette,3090i,GUIDE PIECE,Lower Cam Tracks,9138353,catalog-supplied,32,/assets/images/parts/fette/pge-fet-180.png,/parts/pge-fet-180/
181,PGE-FET-181,Fette,3090i,GRIP LEDGE - EJECTOR - IPT19,Lower Cam Tracks,3109799,catalog-supplied,32,/assets/images/parts/fette/pge-fet-181.png,/parts/pge-fet-181/
182,PGE-FET-182,Fette,3090i,8MM FILL CAM - EU 19,Lower Cam Tracks,3778806,catalog-supplied,32,/assets/images/parts/fette/pge-fet-182.png,/parts/pge-fet-182/
183,PGE-FET-183,Fette,3090i,18MM FILL CAM - EU 1”,Lower Cam Tracks,Needed,needed,32,/assets/images/parts/fette/pge-fet-183.png,/parts/pge-fet-183/
184,PGE-FET-184,Fette,3090i,10MM FILL CAM - EU 1”,Lower Cam Tracks,Needed,needed,32,/assets/images/parts/fette/pge-fet-184.png,/parts/pge-fet-184/
185,PGE-FET-185,Fette,3090i,14MM FILL CAM - EU 19,Lower Cam Tracks,Needed,needed,33,/assets/images/parts/fette/pge-fet-185.png,/parts/pge-fet-185/
186,PGE-FET-186,Fette,3090i,20 MM FILL CAM - EU1 - 441,Lower Cam Tracks,Needed,needed,33,/assets/images/parts/fette/pge-fet-186.png,/parts/pge-fet-186/
187,PGE-FET-187,Fette,3090i,GRIP LEDGE FOR DOSING - EU 19,Lower Cam Tracks,Needed,needed,33,/assets/images/parts/fette/pge-fet-187.png,/parts/pge-fet-187/
188,PGE-FET-188,Fette,3090i,24MM FILL CAM - EU 45,Lower Cam Tracks,Needed,needed,33,/assets/images/parts/fette/pge-fet-188.png,/parts/pge-fet-188/
189,PGE-FET-189,Fette,3090i,28MM FILL CAM - EU 45,Lower Cam Tracks,Needed,needed,33,/assets/images/parts/fette/pge-fet-189.png,/parts/pge-fet-189/
190,PGE-FET-190,Fette,3090i,10MM FILL CAM - FAST PULL DOWN CAM - IPT 19,Lower Cam Tracks,Needed,needed,33,/assets/images/parts/fette/pge-fet-190.png,/parts/pge-fet-190/
191,PGE-FET-191,Fette,3090i,6MM FILL CAM - IPT 19,Lower Cam Tracks,Needed,needed,33,/assets/images/parts/fette/pge-fet-191.png,/parts/pge-fet-191/
192,PGE-FET-192,Fette,3090i,TRANSITION CAM - EU 45,Lower Cam Tracks,Needed,needed,33,/assets/images/parts/fette/pge-fet-192.png,/parts/pge-fet-192/
193,PGE-FET-193,Fette,3090i,PRESSURE ROLL,Pressure Rolls & Components,3114089,catalog-supplied,33,/assets/images/parts/fette/pge-fet-193.png,/parts/pge-fet-193/
194,PGE-FET-194,Fette,3090i,PRESSURE ROLLER W/BEARING,Pressure Rolls & Components,3114089,catalog-supplied,33,/assets/images/parts/fette/pge-fet-194.png,/parts/pge-fet-194/
195,PGE-FET-195,Fette,3090i,BEARING FOR PRESSURE ROLL,Pressure Rolls & Components,Needed,needed,33,/assets/images/parts/fette/pge-fet-195.png,/parts/pge-fet-195/
196,PGE-FET-196,Fette,3090i,SNAP RING FOR PRESSURE ROLL BEARING,Pressure Rolls & Components,Needed,needed,33,/assets/images/parts/fette/pge-fet-196.png,/parts/pge-fet-196/
197,PGE-FET-197,Fette,3090i,ROTARY VANE,Product Control,Needed,needed,34,/assets/images/parts/fette/pge-fet-197.png,/parts/pge-fet-197/
198,PGE-FET-198,Fette,3090i,ROTARY VANE,Product Control,Needed,needed,34,/assets/images/parts/fette/pge-fet-198.png,/parts/pge-fet-198/
199,PGE-FET-199,Fette,3090i,OVAL PANE FOR FEEDING HOPPER 92 MM,Product Control,3116292,catalog-supplied,34,/assets/images/parts/fette/pge-fet-199.png,/parts/pge-fet-199/
200,PGE-FET-200,Fette,3090i,16MM BRONZE INSERT,Product Control,3128639,catalog-supplied,34,/assets/images/parts/fette/pge-fet-200.png,/parts/pge-fet-200/
