position,sku,make,model,part_name,category,oem_number,oem_status,catalog_page,image_path,landing_page
74,PGE-FET-074,Fette,2090i,14MM FILL CAM IPT 1”,Lower Cam Tracks,3114434,catalog-supplied,23,/assets/images/parts/fette/pge-fet-074.png,/parts/pge-fet-074/
75,PGE-FET-075,Fette,2090i,12MM FILL CAM IPT 1”,Lower Cam Tracks,3114433,catalog-supplied,23,/assets/images/parts/fette/pge-fet-075.png,/parts/pge-fet-075/
76,PGE-FET-076,Fette,2090i,10MM FILL CAM IPT 1”,Lower Cam Tracks,3114432,catalog-supplied,23,/assets/images/parts/fette/pge-fet-076.png,/parts/pge-fet-076/
77,PGE-FET-077,Fette,2090i,8MM FILL CAM IPT-19,Lower Cam Tracks,3114410,catalog-supplied,23,/assets/images/parts/fette/pge-fet-077.png,/parts/pge-fet-077/
78,PGE-FET-078,Fette,2090i,HOLDING LEDGE FOR LOWER CAMS IPT 19,Lower Cam Tracks,3110919,catalog-supplied,23,/assets/images/parts/fette/pge-fet-078.png,/parts/pge-fet-078/
79,PGE-FET-079,Fette,2090i,9 HOLD DOWN LEDGE - IPT 19,Lower Cam Tracks,3110929,catalog-supplied,23,/assets/images/parts/fette/pge-fet-079.png,/parts/pge-fet-079/
80,PGE-FET-080,Fette,2090i,HOLD DOWN LEDGE IPT 1”,Lower Cam Tracks,3112017,catalog-supplied,23,/assets/images/parts/fette/pge-fet-080.png,/parts/pge-fet-080/
81,PGE-FET-081,Fette,2090i,FILLING CAM - 8MM - EU19,Lower Cam Tracks,3110858,catalog-supplied,23,/assets/images/parts/fette/pge-fet-081.png,/parts/pge-fet-081/
82,PGE-FET-082,Fette,2090i,FILLING CAM - 12MM - EU1-441,Lower Cam Tracks,Needed,needed,24,/assets/images/parts/fette/pge-fet-082.png,/parts/pge-fet-082/
83,PGE-FET-083,Fette,2090i,FILLING CAM - 10MM - EU19,Lower Cam Tracks,3110614,catalog-supplied,24,/assets/images/parts/fette/pge-fet-083.png,/parts/pge-fet-083/
84,PGE-FET-084,Fette,2090i,FILL CAM 10MM FS12,Lower Cam Tracks,Needed,needed,24,/assets/images/parts/fette/pge-fet-084.png,/parts/pge-fet-084/
85,PGE-FET-085,Fette,2090i,FILLING CAM 6MM - EU1,Lower Cam Tracks,Needed,needed,24,/assets/images/parts/fette/pge-fet-085.png,/parts/pge-fet-085/
86,PGE-FET-086,Fette,2090i,FILLING CAM - 20MM - IPT 1”,Lower Cam Tracks,Needed,needed,24,/assets/images/parts/fette/pge-fet-086.png,/parts/pge-fet-086/
87,PGE-FET-087,Fette,2090i,PULL DOWN CAM - PLASTIC - EU 19,Lower Cam Tracks,Needed,needed,24,/assets/images/parts/fette/pge-fet-087.png,/parts/pge-fet-087/
88,PGE-FET-088,Fette,2090i,FILLING CAM-14MM - EU 19,Lower Cam Tracks,Needed,needed,24,/assets/images/parts/fette/pge-fet-088.png,/parts/pge-fet-088/
89,PGE-FET-089,Fette,2090i,GRIP LEDGE - EU 19,Lower Cam Tracks,Needed,needed,24,/assets/images/parts/fette/pge-fet-089.png,/parts/pge-fet-089/
90,PGE-FET-090,Fette,2090i,PRESSURE ROLL W/O BEARING,Pressure Rolls & Components,3114089,catalog-supplied,24,/assets/images/parts/fette/pge-fet-090.png,/parts/pge-fet-090/
91,PGE-FET-091,Fette,2090i,PRESSURE ROLL W/BEARING,Pressure Rolls & Components,3114089,catalog-supplied,24,/assets/images/parts/fette/pge-fet-091.png,/parts/pge-fet-091/
92,PGE-FET-092,Fette,2090i,S.H. SET SCREW,Pressure Rolls & Components,Needed,needed,24,/assets/images/parts/fette/pge-fet-092.png,/parts/pge-fet-092/
93,PGE-FET-093,Fette,2090i,SLIDE IN BRONZE SEAL FOR STANDARD F-O-M TABLETS UP TO 11MM,Product Control,3127034,catalog-supplied,24,/assets/images/parts/fette/pge-fet-093.png,/parts/pge-fet-093/
94,PGE-FET-094,Fette,2090i,SLIDE IN BRONZE SEAL FOR STANDARD F-O-M TABLETS UP TO 16MM,Product Control,3127035,catalog-supplied,24,/assets/images/parts/fette/pge-fet-094.png,/parts/pge-fet-094/
95,PGE-FET-095,Fette,2090i,SLIDE-IN BRONZE SEAL FOR STANDARD F-O-M TABLETS UP TO 25MM,Product Control,3127036,catalog-supplied,24,/assets/images/parts/fette/pge-fet-095.png,/parts/pge-fet-095/
96,PGE-FET-096,Fette,2090i,SCRAPER BAR - BRONZE,Product Control,3106361C,catalog-supplied,24,/assets/images/parts/fette/pge-fet-096.png,/parts/pge-fet-096/
97,PGE-FET-097,Fette,2090i,F-O-M BASE PLATE FOR BRONZE SEAL,Product Control,3127032,catalog-supplied,25,/assets/images/parts/fette/pge-fet-097.png,/parts/pge-fet-097/
98,PGE-FET-098,Fette,2090i,FILLING WHEEL - PLOW,Product Control,3501464,catalog-supplied,25,/assets/images/parts/fette/pge-fet-098.png,/parts/pge-fet-098/
99,PGE-FET-099,Fette,2090i,REVERSE DOSING WHEEL W/ FLAT RODS - PLOW,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-099.png,/parts/pge-fet-099/
100,PGE-FET-100,Fette,2090i,SLIDE IN PEEK SEAL FOR STANDARD F-O-M TABLETS UP TO 25MM,Product Control,3134636,catalog-supplied,25,/assets/images/parts/fette/pge-fet-100.png,/parts/pge-fet-100/
