sku,make,model,category,part_name,oem_number,catalog_part_number,catalog_page,image_status,image_path
PGE-KOR-233,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,PLAIN WASHER D95 x D22 x 28,71360311,KO-311,27,Catalog photo,/assets/images/parts/korsch/pge-kor-233.webp
PGE-KOR-234,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,UPPER CAM SUSTAINER,71960395,KO-395,27,Catalog photo,/assets/images/parts/korsch/pge-kor-234.webp
PGE-KOR-235,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,ADAPTER PLATE,73100433,KO-433,27,Catalog photo,/assets/images/parts/korsch/pge-kor-235.webp
PGE-KOR-236,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,ADJUSTMENT SLEEVE,71121487-4,KO-487-4,27,Catalog photo,/assets/images/parts/korsch/pge-kor-236.webp
PGE-KOR-237,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,DISTANCE RING D20 x D12H7 x 2,71340524,KO-524,27,Catalog photo,/assets/images/parts/korsch/pge-kor-237.webp
PGE-KOR-238,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,PLAIN WASHER D130 x D22 x 20,71360525,KO-525,27,Catalog photo,/assets/images/parts/korsch/pge-kor-238.webp
PGE-KOR-239,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,SPRING RAM,71720600,KO-600,27,Catalog photo,/assets/images/parts/korsch/pge-kor-239.webp
PGE-KOR-240,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,DISTANCE SLEEVE,71360653,KO-653,27,Catalog photo,/assets/images/parts/korsch/pge-kor-240.webp
PGE-KOR-241,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,SUPPORT RING,KO-696,KO-696,27,Catalog photo,/assets/images/parts/korsch/pge-kor-241.webp
PGE-KOR-242,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,COVER,71240186,KO-86,27,Catalog photo,/assets/images/parts/korsch/pge-kor-242.webp
PGE-KOR-243,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,COUNTERSUNK SCREW M4 x 18 DIN 7991 A2,12200088,FHCS-M4X18,27,Photo not available,/assets/images/parts/korsch/pge-kor-243.webp
PGE-KOR-244,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,HEXAGON HEAD SCREW M10 x 45 ISO 4017-A2-70,12010190,HHCS-M10X45,27,Catalog photo,/assets/images/parts/korsch/pge-kor-244.webp
PGE-KOR-245,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,LOW HEAD MACHINE SCREW M8 x 20 DIN 6912 A2,"12010106, 12030055",LSHCS-M8X20,27,Catalog photo,/assets/images/parts/korsch/pge-kor-245.webp
PGE-KOR-246,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,PLAIN WASHER 10 ISO 7089-200HV-A2,12170004,FW-M10X20,27,Photo not available,/assets/images/parts/korsch/pge-kor-246.webp
PGE-KOR-247,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,SET SCREW M6 x 6 DIN 913 A2,12030065,SS-M6X6,28,Photo not available,/assets/images/parts/korsch/pge-kor-247.webp
PGE-KOR-248,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,SHCS-M12 x 130,12000125,KO-125,28,Catalog photo,/assets/images/parts/korsch/pge-kor-248.webp
PGE-KOR-249,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,CYLINDRICAL ROLLER BEARING,5030012,NP-CRB1,28,Catalog photo,/assets/images/parts/korsch/pge-kor-249.webp
PGE-KOR-250,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,THRUST ROLLER BEARING,5090005,NP-THRB1,28,Catalog photo,/assets/images/parts/korsch/pge-kor-250.webp
PGE-KOR-251,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,TAPERED ROLLER BEARING,5070017,NP-TRB1,28,Catalog photo,/assets/images/parts/korsch/pge-kor-251.webp
PGE-KOR-252,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,MACHINE SCREW M10 x 20 ISO 4762 - A2-70,12010037,SHCS-M10X20,28,Catalog photo,/assets/images/parts/korsch/pge-kor-252.webp
PGE-KOR-253,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,MACHINE SCREW M10 x 25 ISO 4762-A2-70,12010038,SHCS-M10X25,28,Catalog photo,/assets/images/parts/korsch/pge-kor-253.webp
PGE-KOR-254,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,MACHINE SCREW M10 x 35MM ISO 4762-8.8 AOU,12000089,SHCS-M10X35,28,Catalog photo,/assets/images/parts/korsch/pge-kor-254.webp
PGE-KOR-255,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,MACHINE SCREW M16 x 30MM MODIFY TO 29MM,78100073,SHCS-M16X30/M,28,Catalog photo,/assets/images/parts/korsch/pge-kor-255.webp
PGE-KOR-256,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,MACHINE SCREW M8 X 16 ISO 4762-A2-70,12010032,SHCS-M8X16,28,Catalog photo,/assets/images/parts/korsch/pge-kor-256.webp
PGE-KOR-257,Korsch,XL400 BI,Complete Upper Cam Sustainer Assembly,MACHINE SCREW M8 X 20 ISO 4762-A2-70,12010106,SHCS-M8X20,28,Catalog photo,/assets/images/parts/korsch/pge-kor-257.webp
PGE-KOR-258,Korsch,XL400FT,Lower Cam Track,10 MM FILL CAM - TSM B’,N/A,KO-288,29,Catalog photo,/assets/images/parts/korsch/pge-kor-258.webp
PGE-KOR-259,Korsch,XL400FT,Lower Cam Track,DOSING CAM - TSM B,N/A,KO-338,29,Catalog photo,/assets/images/parts/korsch/pge-kor-259.webp
PGE-KOR-260,Korsch,XL400FT,Lower Cam Track,FILL CAM - 14 MM - TSM B,N/A,KO-289,29,Catalog photo,/assets/images/parts/korsch/pge-kor-260.webp
PGE-KOR-261,Korsch,XL400FT,Lower Cam Track,SAFETY RAIL 139.5 - TSM B,N/A,KO-339,29,Catalog photo,/assets/images/parts/korsch/pge-kor-261.webp
PGE-KOR-262,Korsch,XL400FT,Lower Cam Track,SAFETY RAIL 71.0 - TSM B,N/A,KO-340,29,Catalog photo,/assets/images/parts/korsch/pge-kor-262.webp
PGE-KOR-263,Korsch,XL400FT,Product Control,LEFT ROTARY VANE -3PC DELRIN,N/A,KO-204/2-D,29,Catalog photo,/assets/images/parts/korsch/pge-kor-263.webp
PGE-KOR-264,Korsch,XL400FT,Product Control,ROTARY VANE STRAIGHT- 3 PC DELRIN,N/A,KO-205/1-D,29,Catalog photo,/assets/images/parts/korsch/pge-kor-264.webp
PGE-KOR-265,Korsch,XL400FT,Turret Hardware,UPPER CAM SUSTAINER,N/A,KO-363,29,Catalog photo,/assets/images/parts/korsch/pge-kor-265.webp
PGE-KOR-266,Korsch,XL400FT,Turret Hardware,A BEARING BLOCK LEFT,N/A,KO-283,29,Photo not available,/assets/images/parts/korsch/pge-kor-266.webp
PGE-KOR-267,Korsch,XL400FT,Turret Hardware,A BEARING BLOCK RIGHT,N/A,KO-284,29,Photo not available,/assets/images/parts/korsch/pge-kor-267.webp
PGE-KOR-268,Korsch,XL400FT,Turret Hardware,CLAMPING FLANGE,N/A,KO-280,29,Photo not available,/assets/images/parts/korsch/pge-kor-268.webp
PGE-KOR-269,Korsch,XL400FT,Turret Hardware,DIE LOCK ASSEMBLY - 8MM HEX,N/A,DL-124/PS,29,Catalog photo,/assets/images/parts/korsch/pge-kor-269.webp
PGE-KOR-270,Korsch,XL400FT,Turret Hardware,LOWER CAM SUSTAINER,N/A,KO-374,29,Photo not available,/assets/images/parts/korsch/pge-kor-270.webp
PGE-KOR-271,Korsch,XL400FT,Turret Hardware,TORQUE CONVERTER BEARING,N/A,KO-512,29,Photo not available,/assets/images/parts/korsch/pge-kor-271.webp
PGE-KOR-272,Korsch,XL400FT,Upper Cam Track,COVER FOR INSERT,N/A,KO-285-6,29,Catalog photo,/assets/images/parts/korsch/pge-kor-272.webp
PGE-KOR-273,Korsch,XL400FT,Upper Cam Track,GUIDE,N/A,KO-720,30,Photo not available,/assets/images/parts/korsch/pge-kor-273.webp
PGE-KOR-274,Korsch,XL400FT,Upper Cam Track,GUIDE BLOCK,N/A,KO-285-1,30,Catalog photo,/assets/images/parts/korsch/pge-kor-274.webp
PGE-KOR-275,Korsch,XL400FT,Upper Cam Track,INSIDE PUNCH REMOVAL - LONG - TSM B,N/A,KO-336,30,Catalog photo,/assets/images/parts/korsch/pge-kor-275.webp
PGE-KOR-276,Korsch,XL400FT,Upper Cam Track,INSIDE PUNCH REMOVAL - SHORT - TSM B,N/A,KO-337,30,Catalog photo,/assets/images/parts/korsch/pge-kor-276.webp
PGE-KOR-277,Korsch,XL400FT,Upper Cam Track,LIFTING CAM,N/A,KO-2286,30,Catalog photo,/assets/images/parts/korsch/pge-kor-277.webp
PGE-KOR-278,Korsch,XL800,Lower Cam Tracks,16MM FILL CAM - TSM “D”,N/A,KO-201,31,Catalog photo,/assets/images/parts/korsch/pge-kor-278.webp
PGE-KOR-279,Korsch,XL800,Pressure Rolls & Components,PRESSURE ROLLER - BHT LATHE,N/A,KO-4,31,Photo not available,/assets/images/parts/korsch/pge-kor-279.webp
PGE-KOR-280,Korsch,XL800,Product Control,SCRAPER BLADE - PEEK,76900417,KO-417,31,Catalog photo,/assets/images/parts/korsch/pge-kor-280.webp
PGE-KOR-281,Korsch,XL800,Product Control,PRE TAIL OVER DIE - INSERT AT EXIT,73100570,KO-570,31,Catalog photo,/assets/images/parts/korsch/pge-kor-281.webp
PGE-KOR-282,Korsch,XL800,Product Control,SCRAPER SPRING,N/A,KO-SP1,31,Catalog photo,/assets/images/parts/korsch/pge-kor-282.webp
PGE-KOR-283,Korsch,XL800,Turrets,59 STATION TURRET ASSEMBLY* - D”,N/A,KO11-59T/A,31,Stock photo,/assets/images/parts/korsch/pge-kor-283.webp
PGE-KOR-284,Korsch,XL800,Upper Cam Tracks,UPPER CAM TSM “B”,70150954,KO-954,31,Catalog photo,/assets/images/parts/korsch/pge-kor-284.webp
