record_number,batch_image_number,sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,image_position,photo_status,verification,image_path
402,373,PGE-MAN-0402,Manesty,BETAPRESS,CLAMP ON INLET TUBE,Product Control,M-618,39618,60,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0402-clamp-on-inlet-tube-m-618-oem-39618.png
403,374,PGE-MAN-0403,Manesty,BETAPRESS,INLET CONNECTOR HINGE PLATE,Product Control,M-637,39637,60,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0403-inlet-connector-hinge-plate-m-637-oem-39637.png
404,375,PGE-MAN-0404,Manesty,BETAPRESS,INLET CONNECTOR GASKET,Product Control,M-638,39638,60,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0404-inlet-connector-gasket-m-638-oem-39638.png
405,376,PGE-MAN-0405,Manesty,BETAPRESS,LOCK NUT ON HINGE PLATE,Product Control,M-640,39640,60,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0405-lock-nut-on-hinge-plate-m-640-oem-39640.png
406,377,PGE-MAN-0406,Manesty,BETAPRESS,HOPPER CONNECTOR,Product Control,M-642,39642,60,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0406-hopper-connector-m-642-oem-39642.png
407,378,PGE-MAN-0407,Manesty,BETAPRESS,COVER ON INLET BOWL,Product Control,M-669,44669,61,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0407-cover-on-inlet-bowl-m-669-oem-44669.png
408,379,PGE-MAN-0408,Manesty,BETAPRESS,FLANGED BUSHING - OILITE,Product Control,M-70,39770,61,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0408-flanged-bushing-oilite-m-70-oem-39770.png
409,380,PGE-MAN-0409,Manesty,BETAPRESS,FEEDER INTER GEAR BUSHING,Product Control,M-778,39778,61,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0409-feeder-inter-gear-bushing-m-778-oem-39778.png
412,381,PGE-MAN-0412,Manesty,BETAPRESS,INLET ON TOP COVER,Product Control,M4-660,44660,61,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0412-inlet-on-top-cover-m4-660-oem-44660.png
413,382,PGE-MAN-0413,Manesty,BETAPRESS,LARGE FINGER SECTION - PLOW DESIGN,Product Control,M-798-1/P,N/A,61,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0413-large-finger-section-plow-design-m-798-1-p-oem-n-a.png
414,383,PGE-MAN-0414,Manesty,BETAPRESS,PILLAR FOR HOPPER MOUNTING,Product Control,M4-189,44189,61,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0414-pillar-for-hopper-mounting-m4-189-oem-44189.png
418,384,PGE-MAN-0418,Manesty,BETAPRESS,STANDARD ROTARY FEEDER ASSEMBLY,Product Control,M4-SRF,N/A,61,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0418-standard-rotary-feeder-assembly-m4-srf-oem-n-a.png
419,385,PGE-MAN-0419,Manesty,BETAPRESS,BRACKET FOR OIL BOTTLE,Product Control,M-614,44614,61,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0419-bracket-for-oil-bottle-m-614-oem-44614.png
421,386,PGE-MAN-0421,Manesty,BETAPRESS,DUST BOX,Product Control,M4-03,N/A,61,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0421-dust-box-m4-03-oem-n-a.png
422,387,PGE-MAN-0422,Manesty,BETAPRESS,SHAFT END WASHER,Product Control,M4-165,N/A,62,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0422-shaft-end-washer-m4-165-oem-n-a.png
424,388,PGE-MAN-0424,Manesty,BETAPRESS,FEEDER PADDLE - WIRE DESIGN,Product Control,M4-483/3,N/A,62,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0424-feeder-paddle-wire-design-m4-483-3-oem-n-a.png
425,389,PGE-MAN-0425,Manesty,BETAPRESS,FEEDER PADDLE - NOTCH DESIGN,Product Control,M4-483/4,N/A,62,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0425-feeder-paddle-notch-design-m4-483-4-oem-n-a.png
432,390,PGE-MAN-0432,Manesty,BETAPRESS,DIE LOCK SCREW,Turret Hardware,DL-50/1,N/A,62,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0432-die-lock-screw-dl-50-1-oem-n-a.png
433,391,PGE-MAN-0433,Manesty,BETAPRESS,DIE LOCK SCREW,Turret Hardware,DL-50/2,44775,62,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0433-die-lock-screw-dl-50-2-oem-44775.png
434,392,PGE-MAN-0434,Manesty,BETAPRESS,DIE LOCK SCREW,Turret Hardware,DL-56,"36156, AD-0",62,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0434-die-lock-screw-dl-56-oem-36156-ad-0.png
435,393,PGE-MAN-0435,Manesty,BETAPRESS,THRUST BEARING,Turret Hardware,M-348,44348,62,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0435-thrust-bearing-m-348-oem-44348.png
436,394,PGE-MAN-0436,Manesty,BETAPRESS,SPACER UNDER TURRET,Turret Hardware,M4-113,44113,62,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0436-spacer-under-turret-m4-113-oem-44113.png
437,395,PGE-MAN-0437,Manesty,BETAPRESS,ROLLER BEARING,Turret Hardware,M4-310,44310,63,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0437-roller-bearing-m4-310-oem-44310.png
438,396,PGE-MAN-0438,Manesty,BETAPRESS,COLUMN BEARING BUSH,Turret Hardware,M4-344,44344,63,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0438-column-bearing-bush-m4-344-oem-44344.png
439,397,PGE-MAN-0439,Manesty,BETAPRESS,TAPER LOCK BUSH,Turret Hardware,M4-764,44764,63,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0439-taper-lock-bush-m4-764-oem-44764.png
440,398,PGE-MAN-0440,Manesty,BETAPRESS,TURRET SPINDLE TAPER LOCK REPLACEMENT,Turret Hardware,M4-BA,N/A,63,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0440-turret-spindle-taper-lock-replacement-m4-ba-oem-n-a.png
441,399,PGE-MAN-0441,Manesty,BETAPRESS,LOWER PUNCH RETAINER SPRING,Turret Hardware,M-518,38518,63,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0441-lower-punch-retainer-spring-m-518-oem-38518.png
442,400,PGE-MAN-0442,Manesty,BETAPRESS,LOWER PUNCH RETAINER SCREW,Turret Hardware,M-69,39690,63,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0442-lower-punch-retainer-screw-m-69-oem-39690.png
443,401,PGE-MAN-0443,Manesty,BETAPRESS,HEX HEAD SCREW,Turret Hardware,M-699,90569,63,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0443-hex-head-screw-m-699-oem-90569.png
444,402,PGE-MAN-0444,Manesty,BETAPRESS,PUNCH HOLDING PLUNGER,Turret Hardware,M-87,N/A,63,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0444-punch-holding-plunger-m-87-oem-n-a.png
445,403,PGE-MAN-0445,Manesty,BETAPRESS,LOWER PUNCH SCRAPER SEAL ‘B’ TOOLING,Turret Hardware,N-750,44143,63,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0445-lower-punch-scraper-seal-b-tooling-n-750-oem-44143.png
446,404,PGE-MAN-0446,Manesty,BETAPRESS,SEAL INSTALLATION TOOL ’B’ TOOLING,Turret Hardware,N-750/1,N/A,63,10,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0446-seal-installation-tool-b-tooling-n-750-1-oem-n-a.png
448,405,PGE-MAN-0448,Manesty,BETAPRESS,LOWER PUNCH RETAINER SPRING,Turret Hardware,SP-249,39249,63,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0448-lower-punch-retainer-spring-sp-249-oem-39249.png
452,406,PGE-MAN-0452,Manesty,BETAPRESS,UPPER CAM TRACK BODY,Upper Cam Tracks,M4-017,44017,64,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0452-upper-cam-track-body-m4-017-oem-44017.png
453,407,PGE-MAN-0453,Manesty,BETAPRESS,INSERT IN UPPER TRACK - IPT B,Upper Cam Tracks,M4-034,44034,64,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0453-insert-in-upper-track-ipt-b-m4-034-oem-44034.png
454,408,PGE-MAN-0454,Manesty,BETAPRESS,UPPER CAM TRACK FRONT - IPT B,Upper Cam Tracks,M4-035,44035,64,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0454-upper-cam-track-front-ipt-b-m4-035-oem-44035.png
455,409,PGE-MAN-0455,Manesty,BETAPRESS,INSERT IN UPPER TRACK - IPT B,Upper Cam Tracks,M4-036,44036,64,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0455-insert-in-upper-track-ipt-b-m4-036-oem-44036.png
456,410,PGE-MAN-0456,Manesty,BETAPRESS,RETAINING PIN,Upper Cam Tracks,M4-271,44271,64,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0456-retaining-pin-m4-271-oem-44271.png
457,411,PGE-MAN-0457,Manesty,BETAPRESS,SWIVEL PIN ON UPPER CAM,Upper Cam Tracks,M4-272,44272,64,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0457-swivel-pin-on-upper-cam-m4-272-oem-44272.png
458,412,PGE-MAN-0458,Manesty,BETAPRESS,INSERT IN UPPER TRACK - EU B,Upper Cam Tracks,M4-30,44030,64,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0458-insert-in-upper-track-eu-b-m4-30-oem-44030.png
459,413,PGE-MAN-0459,Manesty,BETAPRESS,INSERT IN UPPER TRACK - EU B,Upper Cam Tracks,M4-31,44031,64,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0459-insert-in-upper-track-eu-b-m4-31-oem-44031.png
460,414,PGE-MAN-0460,Manesty,BETAPRESS,FELT WIPER,Upper Cam Tracks,M4-316,44316,64,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0460-felt-wiper-m4-316-oem-44316.png
461,415,PGE-MAN-0461,Manesty,BETAPRESS,UPPER CAM TRACK FRONT - EU B,Upper Cam Tracks,M4-32,44032,64,10,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0461-upper-cam-track-front-eu-b-m4-32-oem-44032.png
462,416,PGE-MAN-0462,Manesty,BETAPRESS,UPPER LIFTING CAM - EU B,Upper Cam Tracks,M4-574,44574,64,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0462-upper-lifting-cam-eu-b-m4-574-oem-44574.png
463,417,PGE-MAN-0463,Manesty,BETAPRESS,UPPER LIFTING CAM - IPT B,Upper Cam Tracks,M4-646,44646,64,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0463-upper-lifting-cam-ipt-b-m4-646-oem-44646.png
464,418,PGE-MAN-0464,Manesty,BETAPRESS,UPPER LOWERING CAM - IPT B,Upper Cam Tracks,M4-654,44654,64,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0464-upper-lowering-cam-ipt-b-m4-654-oem-44654.png
465,419,PGE-MAN-0465,Manesty,BETAPRESS,UPPER LOWERING CAM - US B & D,Upper Cam Tracks,M4-654-BD,N/A,64,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0465-upper-lowering-cam-us-b-d-m4-654-bd-oem-n-a.png
466,420,PGE-MAN-0466,Manesty,BETAPRESS,BALL CATACH,Weight Adjusting Components,M-254,38254,64,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0466-ball-catach-m-254-oem-38254.png
467,421,PGE-MAN-0467,Manesty,BETAPRESS,WEIGHT ADJUSTING RAMP,Weight Adjusting Components,M4-127,44127,65,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0467-weight-adjusting-ramp-m4-127-oem-44127.png
468,422,PGE-MAN-0468,Manesty,BETAPRESS,WEIGHT ADJUSTING BODY,Weight Adjusting Components,M4-693,44693,65,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0468-weight-adjusting-body-m4-693-oem-44693.png
469,423,PGE-MAN-0469,Manesty,BETAPRESS,WEIGHT ADJUSTING SCREW,Weight Adjusting Components,M4-695,44695,65,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0469-weight-adjusting-screw-m4-695-oem-44695.png
470,424,PGE-MAN-0470,Manesty,BETAPRESS,INDICATOR FOR WEIGHT ADJUSTING,Weight Adjusting Components,M4-049,44049,65,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0470-indicator-for-weight-adjusting-m4-049-oem-44049.png
471,425,PGE-MAN-0471,Manesty,D3A,1-1/2 BEARING REAR DRIVE,Drive Components,M-125,36125,66,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0471-1-1-2-bearing-rear-drive-m-125-oem-36125.png
472,426,PGE-MAN-0472,Manesty,D3A,BALL BEARING REAR DRIVE,Drive Components,M-658,2658Z,66,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0472-ball-bearing-rear-drive-m-658-oem-2658z.png
475,427,PGE-MAN-0475,Manesty,D3A,BRONZE WORM,Drive Components,WG-6,"36013, AC-12, B-200-560-1",66,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0475-bronze-worm-wg-6-oem-36013-ac-12-b-200-560-1.png
476,428,PGE-MAN-0476,Manesty,D3A,ROLLER BEARING REAR DRIVE,Drive Components,M-126,36126,66,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0476-roller-bearing-rear-drive-m-126-oem-36126.png
477,429,PGE-MAN-0477,Manesty,D3A,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-15,1150,66,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0477-drip-lubricator-m-15-oem-1150.png
478,430,PGE-MAN-0478,Manesty,D3A,HYDRAULIC TONNAGE GAUGE SYSTEM,Hydraulic & Lubrication Components,M-177,N/A,66,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0478-hydraulic-tonnage-gauge-system-m-177-oem-n-a.png
479,431,PGE-MAN-0479,Manesty,D3A,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-78,36178,66,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0479-drip-lubricator-m-78-oem-36178.png
480,432,PGE-MAN-0480,Manesty,D3A,PUNCH LOADING PLUG,Lower Cam Tracks,M-57,36057,66,10,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0480-punch-loading-plug-m-57-oem-36057.png
481,433,PGE-MAN-0481,Manesty,D3A,PUNCH ADJUSTER SCREW,Lower Cam Tracks,M-94,36094,66,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0481-punch-adjuster-screw-m-94-oem-36094.png
482,434,PGE-MAN-0482,Manesty,D3A,EJECTION CAM,Lower Cam Tracks,MD3-2,36667,66,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0482-ejection-cam-md3-2-oem-36667.png
483,435,PGE-MAN-0483,Manesty,D3A,EJECTION CAM - BRONZE,Lower Cam Tracks,MD3-2/B,36667,66,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0483-ejection-cam-bronze-md3-2-b-oem-36667.png
484,436,PGE-MAN-0484,Manesty,D3A,FILL CAM - 13/16” FILL,Lower Cam Tracks,MD3-64,36064,66,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0484-fill-cam-13-16-fill-md3-64-oem-36064.png
485,437,PGE-MAN-0485,Manesty,D3A,FILL CAM - 5/16” FILL,Lower Cam Tracks,MD3-64/1,6360640,66,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0485-fill-cam-5-16-fill-md3-64-1-oem-6360640.png
486,438,PGE-MAN-0486,Manesty,D3A,FILL CAM - 3/8” FILL,Lower Cam Tracks,MD3-64/2,6360640,67,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0486-fill-cam-3-8-fill-md3-64-2-oem-6360640.png
487,439,PGE-MAN-0487,Manesty,D3A,LOWER CAM TRACK - MANESTY “D”,Lower Cam Tracks,MD3-64-15E,N/A,67,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0487-lower-cam-track-manesty-d-md3-64-15e-oem-n-a.png
488,440,PGE-MAN-0488,Manesty,D3A,UPPER ROLL PIN,Pressure Rolls & Components,MD3-42,36142,67,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0488-upper-roll-pin-md3-42-oem-36142.png
489,441,PGE-MAN-0489,Manesty,D3A,FULCRUM PIN,Pressure Rolls & Components,MD3-70,36070,67,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0489-fulcrum-pin-md3-70-oem-36070.png
490,442,PGE-MAN-0490,Manesty,D3A,LOWER ROLL PIN,Pressure Rolls & Components,MD3-75,36075,67,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0490-lower-roll-pin-md3-75-oem-36075.png
491,443,PGE-MAN-0491,Manesty,D3A,UPPER OR LOWER PRESSURE ROLL,Pressure Rolls & Components,PR-6,36054,67,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0491-upper-or-lower-pressure-roll-pr-6-oem-36054.png
492,444,PGE-MAN-0492,Manesty,D3A,HOPPER BRACKET,Product Control,M-025,36025,67,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0492-hopper-bracket-m-025-oem-36025.png
493,445,PGE-MAN-0493,Manesty,D3A,HOPPER LINK,Product Control,M-035,36035,67,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0493-hopper-link-m-035-oem-36035.png
494,446,PGE-MAN-0494,Manesty,D3A,FEED FRAME ADJUSTING NUT - REAR,Product Control,M-101,36101,67,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0494-feed-frame-adjusting-nut-rear-m-101-oem-36101.png
495,447,PGE-MAN-0495,Manesty,D3A,FEED FRAME LOCKNUT,Product Control,M-118,36118,67,10,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0495-feed-frame-locknut-m-118-oem-36118.png
496,448,PGE-MAN-0496,Manesty,D3A,HOPPER CLAMP SCREW,Product Control,M-67,36067,67,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0496-hopper-clamp-screw-m-67-oem-36067.png
497,449,PGE-MAN-0497,Manesty,D3A,FEED FRAME STUD,Product Control,MD3-099,36099,67,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0497-feed-frame-stud-md3-099-oem-36099.png
498,450,PGE-MAN-0498,Manesty,D3A,FEED FRAME,Product Control,MD3-52,36652,67,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0498-feed-frame-md3-52-oem-36652.png
499,451,PGE-MAN-0499,Manesty,D3A,SCRAPER PLATE,Product Control,MD3-59,36059,67,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0499-scraper-plate-md3-59-oem-36059.png
500,452,PGE-MAN-0500,Manesty,D3A,TAKE-OFF PLATE,Product Control,MD3-61,36061,67,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0500-take-off-plate-md3-61-oem-36061.png
505,453,PGE-MAN-0505,Manesty,D3A,SCRAPER SPRING,Product Control,SP-8,"37077, 35018, 36062",68,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0505-scraper-spring-sp-8-oem-37077-35018-36062.png
506,454,PGE-MAN-0506,Manesty,D3A,EYEBOLT,Thickness/Hardness Components,MD3-007,36007,68,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0506-eyebolt-md3-007-oem-36007.png
507,455,PGE-MAN-0507,Manesty,D3A,FORK PIN,Thickness/Hardness Components,MD3-71,36071,68,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0507-fork-pin-md3-71-oem-36071.png
508,456,PGE-MAN-0508,Manesty,D3A,EYE BOLT PIN,Thickness/Hardness Components,MD3-72,36072,68,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0508-eye-bolt-pin-md3-72-oem-36072.png
509,457,PGE-MAN-0509,Manesty,D3A,PRESSURE LEVER PIN,Thickness/Hardness Components,MD3-73,36073,68,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0509-pressure-lever-pin-md3-73-oem-36073.png
511,458,PGE-MAN-0511,Manesty,D3A,DIE LOCK SCREW,Turret Hardware,DL-56,"36156, AD-0",68,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0511-die-lock-screw-dl-56-oem-36156-ad-0.png
512,459,PGE-MAN-0512,Manesty,D3A,DIE LOCK SCREW,Turret Hardware,DL-75/3,45424,68,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0512-die-lock-screw-dl-75-3-oem-45424.png
513,460,PGE-MAN-0513,Manesty,D3A,LOWER PUNCH RETAINER SPRING,Turret Hardware,M-518,38518,68,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0513-lower-punch-retainer-spring-m-518-oem-38518.png
514,461,PGE-MAN-0514,Manesty,D3A,LOWER PUNCH RETAINER,Turret Hardware,M-519,38519,68,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0514-lower-punch-retainer-m-519-oem-38519.png
515,462,PGE-MAN-0515,Manesty,D3A,LOWER PUNCH RETAINER SCREW,Turret Hardware,M-69,39690,68,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0515-lower-punch-retainer-screw-m-69-oem-39690.png
519,463,PGE-MAN-0519,Manesty,D3A,TAKE OUT PLATE,Upper Cam Tracks,MD3-16,36016,69,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0519-take-out-plate-md3-16-oem-36016.png
520,464,PGE-MAN-0520,Manesty,D3A,TAKE OUT PLATE - NEW STYLE,Upper Cam Tracks,MD3-16/1,N/A,69,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0520-take-out-plate-new-style-md3-16-1-oem-n-a.png
521,465,PGE-MAN-0521,Manesty,D3A,GUIDE PIECE FOR LOWERING CAM,Upper Cam Tracks,MD3-26,35126,69,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0521-guide-piece-for-lowering-cam-md3-26-oem-35126.png
522,466,PGE-MAN-0522,Manesty,D3A,UPPER CAM BODY - WITH TAKE OUT PLATE,Upper Cam Tracks,MD3-53/1,36553,69,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0522-upper-cam-body-with-take-out-plate-md3-53-1-oem-36553.png
523,467,PGE-MAN-0523,Manesty,D3A,UPPER CAM - LIFTING,Upper Cam Tracks,MD3-54,36554,69,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0523-upper-cam-lifting-md3-54-oem-36554.png
524,468,PGE-MAN-0524,Manesty,D3A,UPPER CAM - LOWERING ASSEMBLY,Upper Cam Tracks,MD3-55,36555,69,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0524-upper-cam-lowering-assembly-md3-55-oem-36555.png
526,469,PGE-MAN-0526,Manesty,D3A,WEIGHT ADJUSTING CAM ASSEMBLY,Weight Adjusting Components,MD3-081,36081,69,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0526-weight-adjusting-cam-assembly-md3-081-oem-36081.png
527,470,PGE-MAN-0527,Manesty,D3A,WEDGE PIECE,Weight Adjusting Components,MD3-2A,N/A,69,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0527-wedge-piece-md3-2a-oem-n-a.png
528,471,PGE-MAN-0528,Manesty,D3B,WORM SHAFT - TAPERED,Drive Components,MD3-567,36567,70,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0528-worm-shaft-tapered-md3-567-oem-36567.png
736,668,PGE-MAN-0736,Manesty,EXPRESS,GUIDE ON TAKE OFF PLATE,Product Control,M2-648,48648,85,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0736-guide-on-take-off-plate-m2-648-oem-48648.png
737,669,PGE-MAN-0737,Manesty,EXPRESS,FIRST TAIL OVER DIE SPRING,Product Control,M2-650,48650,85,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0737-first-tail-over-die-spring-m2-650-oem-48650.png
738,670,PGE-MAN-0738,Manesty,EXPRESS,COVER FOR INLET BOWLS,Product Control,M2-669,44669,85,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0738-cover-for-inlet-bowls-m2-669-oem-44669.png
739,671,PGE-MAN-0739,Manesty,EXPRESS,DIRECT DRIVE FEEDER SHAFT,Product Control,M2-673,48673,85,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0739-direct-drive-feeder-shaft-m2-673-oem-48673.png
740,672,PGE-MAN-0740,Manesty,EXPRESS,DIRECT DRIVE FEEDER SHAFT ADAPTER,Product Control,M2-673/1,N/A,85,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0740-direct-drive-feeder-shaft-adapter-m2-673-1-oem-n-a.png
741,673,PGE-MAN-0741,Manesty,EXPRESS,DRIVE GEAR,Product Control,M2-820,48206,85,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0741-drive-gear-m2-820-oem-48206.png
742,674,PGE-MAN-0742,Manesty,EXPRESS,FEEDER GEAR - STEEL,Product Control,M2-85T,48632,85,10,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0742-feeder-gear-steel-m2-85t-oem-48632.png
743,675,PGE-MAN-0743,Manesty,EXPRESS,FEEDER GEAR-FIBER,Product Control,M2-85T/F,48633,85,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0743-feeder-gear-fiber-m2-85t-f-oem-48633.png
744,676,PGE-MAN-0744,Manesty,EXPRESS,FEEDER INTER GEAR,Product Control,M-28T,39768,85,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0744-feeder-inter-gear-m-28t-oem-39768.png
745,677,PGE-MAN-0745,Manesty,EXPRESS,FEEDER INTER GEAR-FIBER,Product Control,M-28T/F,39767,85,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0745-feeder-inter-gear-fiber-m-28t-f-oem-39767.png
746,678,PGE-MAN-0746,Manesty,EXPRESS,ADJUSTMENT NUT,Product Control,M-295,42295,85,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0746-adjustment-nut-m-295-oem-42295.png
747,679,PGE-MAN-0747,Manesty,EXPRESS,ADJUSTMENT SCREW,Product Control,M-296,42296,85,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0747-adjustment-screw-m-296-oem-42296.png
748,680,PGE-MAN-0748,Manesty,EXPRESS,DUST BOX,Product Control,M4-03,N/A,86,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0748-dust-box-m4-03-oem-n-a.png
749,681,PGE-MAN-0749,Manesty,EXPRESS,FEED FRAME LEVELING SCREW,Product Control,M-442,44442,86,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0749-feed-frame-leveling-screw-m-442-oem-44442.png
750,682,PGE-MAN-0750,Manesty,EXPRESS,FEED FRAME LEVELING SCREW NUT,Product Control,M-443,44443,86,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0750-feed-frame-leveling-screw-nut-m-443-oem-44443.png
751,683,PGE-MAN-0751,Manesty,EXPRESS,SPRING FOR SCRAPER BLADE,Product Control,M-450,44450,86,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0751-spring-for-scraper-blade-m-450-oem-44450.png
752,684,PGE-MAN-0752,Manesty,EXPRESS,LOCKSCREW ON INLET CLAMP,Product Control,M-460,44460,86,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0752-lockscrew-on-inlet-clamp-m-460-oem-44460.png
