sku,make,model,category,part_name,catalog_part_number,oem_number,catalog_page,grid_position,image_status,image_path
PGE-STK-0143,Stokes,328,Pressure Rolls & Components,HANDLE FOR END CAP,S-343-H,N/A,44,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0143.webp
PGE-STK-0144,Stokes,328,Pressure Rolls & Components,UPPER ROLL SHAFT-EARLY MODEL-LUBRICATED,S-348,C-291-348-2,44,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0144.webp
PGE-STK-0145,Stokes,328,Pressure Rolls & Components,UPPER ROLL SHAFT-NON LUBRICATED,S-348/1,D-291-348-005,44,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0145.webp
PGE-STK-0146,Stokes,328,Pressure Rolls & Components,LOADING BEAM PIN,S35-011/B,01-PAL-011-B,44,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0146.webp
PGE-STK-0147,Stokes,328,Pressure Rolls & Components,O RING - LOWER ROLL SHAFT,S35-103,07-FC-013-P,44,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0147.webp
PGE-STK-0148,Stokes,328,Pressure Rolls & Components,LOWER ROLL SHAFT-EARLY MODEL-LUBRICATED,S35-12,C-233-312-3,44,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0148.webp
PGE-STK-0149,Stokes,328,Pressure Rolls & Components,UPPER OR LOWER PRESSURE ROLL,S35-13,B-232-513-5,44,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0149.webp
PGE-STK-0150,Stokes,328,Pressure Rolls & Components,PRESSURE ROLL WITH BUSHING,S35-13/WB,B-232-513-5,44,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0150.webp
PGE-STK-0151,Stokes,328,Pressure Rolls & Components,LOWER ROLL SHAFT BUSHING,S35-134,A-233-313-004,45,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0151.webp
PGE-STK-0152,Stokes,328,Pressure Rolls & Components,UPPER ROLL SHAFT KEY,S35-181,A-233-181-002,45,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0152.webp
PGE-STK-0153,Stokes,328,Pressure Rolls & Components,LOWER ROLL HANDWHEEL SHAFT MITER GEAR,S35-21,A-224-112-1,45,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0153.webp
PGE-STK-0154,Stokes,328,Pressure Rolls & Components,RING LOWER ROLL SHAFT CARRIER #227,S35-240,N/A,45,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0154.webp
PGE-STK-0155,Stokes,328,Pressure Rolls & Components,WORM GEAR FOR LOWER ROLL SHAFT (OLD STYLE LG BORE),S35-248,B-233-248-2,45,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0155.webp
PGE-STK-0156,Stokes,328,Pressure Rolls & Components,WORM GEAR FOR LOWER ROLL SHAFT (NEW STYLE SM BORE),S35-248/1,B-233-248-003,45,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0156.webp
PGE-STK-0157,Stokes,328,Pressure Rolls & Components,UPPER ROLL SHAFT O RING,S35-34,022-002-234,45,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0157.webp
PGE-STK-0158,Stokes,328,Pressure Rolls & Components,END PLATE CAP,S35-343,D-291-343-001,45,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0158.webp
PGE-STK-0159,Stokes,328,Pressure Rolls & Components,END PLATE THUMB SCREW,S35-343/1,N/A,45,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0159.webp
PGE-STK-0160,Stokes,328,Pressure Rolls & Components,LOADING BEAM,S35-474,B-248-474-001,45,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0160.webp
PGE-STK-0161,Stokes,328,Pressure Rolls & Components,LOADING BEAM INSERT,S35-492,A-232-492-001,45,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0161.webp
PGE-STK-0162,Stokes,328,Pressure Rolls & Components,PRESSURE SPRING,S35-493,"B-232-493-1, B-232-493-001",45,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0162.webp
PGE-STK-0163,Stokes,328,Pressure Rolls & Components,OIL SLINGER - LOWER ROLL,S35-510,A-232-510-2,45,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0163.webp
PGE-STK-0164,Stokes,328,Pressure Rolls & Components,UPPER PUNCH ADJUSTMENT SCREW EARLY MODEL (SHORT),S35-55,A-234-555-4,45,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0164.webp
PGE-STK-0165,Stokes,328,Pressure Rolls & Components,UPPER PUNCH ADJUSTMENT SCREW LATE MODEL,S35-55/1,A-234-555-009,45,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0165.webp
PGE-STK-0166,Stokes,328,Pressure Rolls & Components,LOADING CRANK,S35-647,C-236-647-004,46,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0166.webp
PGE-STK-0167,Stokes,328,Pressure Rolls & Components,CLAMPING HANDLE,S35-825,A-233-825-1,46,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0167.webp
PGE-STK-0168,Stokes,328,Pressure Rolls & Components,CLAMPING SHAFT (LEFT SIDE),S35-826,"A-233-826-1, A-233-826-2",46,R1C3,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0169,Stokes,328,Pressure Rolls & Components,LOWER ROLL HANDWHEEL SHAFT - RIGHT SIDE,S35-828,A-233-828-2,46,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0169.webp
PGE-STK-0170,Stokes,328,Pressure Rolls & Components,PRESSURE COLUMN GUIDE,S35-847,C-236-847-001,46,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0170.webp
PGE-STK-0171,Stokes,328,Pressure Rolls & Components,NARROW INNER BEARING FOR END CAP,S35-910,085-6-910,46,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0171.webp
PGE-STK-0172,Stokes,328,Pressure Rolls & Components,WIDE OUTER BEARING FOR ENDCAP,S35-910/1,N/A,46,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0172.webp
PGE-STK-0173,Stokes,328,Pressure Rolls & Components,CENTER AND OUTER BEAR- ING FOR UPPER ROLL PIN,S35-911,085-6-911,46,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0173.webp
PGE-STK-0174,Stokes,328,Pressure Rolls & Components,SLIDER BLOCK,S-405,B-290-405-1,46,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0174.webp
PGE-STK-0175,Stokes,328,Pressure Rolls & Components,"THRUST PLATE, LOWER ROLL - BRASS",S-486,A-294-486-1,46,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0175.webp
PGE-STK-0176,Stokes,328,Pressure Rolls & Components,"THRUST PLATE, LOWER ROLL - STEEL",S-486/A2,N/A,46,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0176.webp
PGE-STK-0177,Stokes,328,Pressure Rolls & Components,"SPACER, UPPER PUNCH ADJUSTING SCREW",S-500,B-297-005-002,46,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0177.webp
PGE-STK-0178,Stokes,328,Pressure Rolls & Components,HANDWHEEL - SUPPORT PRESSURE ADJUSTING,S-549,B-298-549-M01,46,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0178.webp
PGE-STK-0179,Stokes,328,Pressure Rolls & Components,WORM SHAFT MITER GEAR,S35-302,017-003-022,46,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0179.webp
PGE-STK-0180,Stokes,328,Pressure Rolls & Components,UPPER ROLL BEARING PLATE,S35-74,A-291-374-001,46,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0180.webp
PGE-STK-0181,Stokes,328,Pressure Rolls & Components,OIL RECEIVER COVER,S35-786,B-241-786-1,47,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0181.webp
PGE-STK-0182,Stokes,328,Pressure Rolls & Components,UPPER ROLL SHAFT,S35-82,C-233-182-2,47,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0182.webp
PGE-STK-0183,Stokes,328,Pressure Rolls & Components,UPPER PRESSURE ROLL BEARING STYLE (LATE MODEL) ASSEMBLY,S-044/A,N/A,47,R1C3,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0184,Stokes,328,Pressure Rolls & Components,LOWER PRESSURE ROLL BEARING STYLE (LATE MODEL) ASSEMBLY,S-045/A,N/A,47,R2C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0185,Stokes,328,Pressure Rolls & Components,LOWER PRESSURE ROLL - W/ SEALS ASSEMBLY,S-311/A,N/A,47,R2C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0186,Stokes,328,Product Control,FEED SPOUT BRACKET,S35-428,C-297-428-002,47,R2C3,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0187,Stokes,328,Product Control,OPEN FEED FRAME - LEFT,S35-66/L,N/A,47,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0187.webp
PGE-STK-0188,Stokes,328,Product Control,OPEN FEED FRAME - RIGHT,S35-66/R,D-242-766-6,47,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0188.webp
PGE-STK-0189,Stokes,328,Product Control,HOPPER - NEW STYLE,S35-444,D-295-444-007,47,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0189.webp
PGE-STK-0190,Stokes,328,Product Control,FEED FRAME STUD,S-185,A-276-185-003,47,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0190.webp
PGE-STK-0191,Stokes,328,Product Control,LOWER SPOUT,S35-110,C-777-110-003,47,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0191.webp
PGE-STK-0192,Stokes,328,Product Control,TABLET GUIDE,S35-22,A-242-822-1,47,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0192.webp
PGE-STK-0193,Stokes,328,Product Control,TAKE-OFF PLATE - LEFT,S35-23,A-242-823-4,47,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0193.webp
PGE-STK-0194,Stokes,328,Product Control,TAKE-OFF PLATE - RIGHT,S35-24,A-242-823-1D,47,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0194.webp
PGE-STK-0195,Stokes,328,Product Control,LOADING COLUMN,S35-326,B-232-326-011,47,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0195.webp
PGE-STK-0196,Stokes,328,Product Control,FEED FRAME SCRAPE-OFF,S35-35,A-242-825-4,48,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0196.webp
PGE-STK-0197,Stokes,328,Product Control,KEYED SLIDER PLATE,S35-400,C-290-400-002,48,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0197.webp
PGE-STK-0198,Stokes,328,Product Control,APRON HOLD-DOWN HANDLE,S35-406-AH,N/A,48,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0198.webp
PGE-STK-0199,Stokes,328,Product Control,TABLET CHUTE,S35-408,C-297-408-001,48,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0199.webp
PGE-STK-0200,Stokes,328,Product Control,FEED SPOUT - GRAVITY FEEDER,S35-427,D-297-427-005,48,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0200.webp
PGE-STK-0201,Stokes,328,Product Control,FEEDER BOWL,S35-427/1,D-297-427-005,48,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0201.webp
PGE-STK-0202,Stokes,328,Product Control,VACUUM MANIFOLD - COMPLETE ASSEMBLY,S35-439/A,N/A,48,R3C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0203,Stokes,328,Product Control,FEEDER PAN - BRONZE ( NEW STYLE ),S35-52,293-452-021,48,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0203.webp
PGE-STK-0204,Stokes,328,Product Control,INSERT FEED FRAME,S35-540,298-054-002,48,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0204.webp
PGE-STK-0205,Stokes,328,Product Control,OPEN FEED FRAME - LEFT ASSEMBLY,S35-66/L/A,D-242-766-5,48,R4C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0206,Stokes,328,Product Control,OPEN FEED FRAME - RIGHT ASSEMBLY,S35-66/R/A,D-242-766-6,48,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0206.webp
PGE-STK-0207,Stokes,328,Product Control,FORCED FEEDER,S35-FC1,N/A,48,R4C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0208,Stokes,328,Product Control,FEEDER MOTOR COUPLING,S35-FC1/MC2,N/A,48,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0208.webp
PGE-STK-0209,Stokes,328,Product Control,FEEDER PAN - ASSEMBLY,S35-FC1-1,N/A,48,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0209.webp
PGE-STK-0210,Stokes,328,Product Control,PADDLE SHAFT,S35-FC1-10,N/A,48,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0210.webp
PGE-STK-0211,Stokes,328,Product Control,FEEDER PADDLE LARGE,S35-FC1-11,N/A,49,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0211.webp
PGE-STK-0212,Stokes,328,Product Control,SMALL FEEDER PADDLE,S35-FC1-12,N/A,49,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0212.webp
PGE-STK-0213,Stokes,328,Product Control,SCRAPER,S35-FC1-13,N/A,49,R1C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0214,Stokes,328,Product Control,INPUT SHAFT BUSHING,S35-FC1-20,N/A,49,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0214.webp
PGE-STK-0215,Stokes,328,Product Control,BUSHING,S35-FC1-21,N/A,49,R2C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0216,Stokes,328,Product Control,PUNCH RETAINER SPRING,S35-FC1-24,N/A,49,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0216.webp
PGE-STK-0217,Stokes,328,Product Control,SPRING,S35-FC1-24A,328,49,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0217.webp
PGE-STK-0218,Stokes,328,Product Control,WEAR STRIP SET,S35-FC1-WST,N/A,49,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0218.webp
PGE-STK-0219,Stokes,328,Product Control,RETURN SCRAPER,S35-FC1-26,N/A,49,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0219.webp
PGE-STK-0220,Stokes,328,Product Control,DRIVE SHAFT COUPLING,S35-FC1-30,N/A,49,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0220.webp
PGE-STK-0221,Stokes,328,Product Control,HOPPER ADJUSTING SCREW,S-36/2,1-EC36,49,R4C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0222,Stokes,328,Product Control,HOPPER ADJUSTING SCREW ASSEMBLY,S-36,D-290-403-009,49,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0222.webp
PGE-STK-0223,Stokes,328,Product Control,HOPPER ADJUSTING NUT,S-36/1,N/A,49,R5C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0224,Stokes,328,Product Control,FEED FRAME LEVELING SCREW,S-479,"A-234-479-1, A-234-479-5",49,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0224.webp
PGE-STK-0225,Stokes,328,Product Control,SCRAPER SPRING,SP-8,"37077, 35018, 36062",49,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0225.webp
PGE-STK-0226,Stokes,328,Product Control,FEEDER PADDLE - SMALL W/PLOW,S35-FC1-12-DP,N/A,50,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0226.webp
PGE-STK-0227,Stokes,328,Product Control,FEEDER COVER,S35-FC1-2,N/A,50,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0227.webp
PGE-STK-0228,Stokes,328,Thickness/Hardness Components,WORM - THICKNESS CONTROL,S35-247,A-233-247-001,50,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0228.webp
PGE-STK-0229,Stokes,328,Turret Hardware,DIE LOCK SCREW MAXI HEAD 45 STATION,DL-137/45,N/A,50,R2C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0230,Stokes,328,Turret Hardware,DIE LOCK SCREW ASSEMBLY - MAXI,DL-137-33,C-241-633-006,50,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0230.webp
PGE-STK-0231,Stokes,328,Turret Hardware,DIE LOCK SCREW,DL-91,230-091-1,50,R2C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0232,Stokes,328,Turret Hardware,SPINDLE - EARLY MODEL,S35-633,C-241-633-1,50,R3C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0233,Stokes,328,Turret Hardware,SPINDLE - LATE MODEL,S35-633/6,C-241-633-006,50,R3C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0234,Stokes,328,Turret Hardware,SPINDLE AIR BLEED O RING,S35-088,07-FD-088-P,50,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0234.webp
PGE-STK-0235,Stokes,328,Turret Hardware,"SPRING, LOWER PUNCH SUPPORT",S-115,12AA115,50,R4C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0236,Stokes,328,Turret Hardware,SPINDLE CAP GASKET,S35-012,07-FA-012-BQ,50,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0236.webp
PGE-STK-0237,Stokes,328,Turret Hardware,SPINDLE SHIM (LAMINATED),S35-396,A-236-396-1,50,R4C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0238,Stokes,328,Turret Hardware,PISTON & SPINDLE CAP O RING (OLD STYLE),S35-212,022-2-212,50,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0238.webp
PGE-STK-0239,Stokes,328,Turret Hardware,O RING FOR SPINDLE O.D.,S35-28,022-002-228,50,R5C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0240,Stokes,328,Turret Hardware,RACE FOR SPINDLE BEARING,S35-646-2,085-6-646/2,50,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0240.webp
PGE-STK-0241,Stokes,328,Turret Hardware,SPRING GUIDE,S35-512,A-232-512-001,51,R1C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0242,Stokes,328,Turret Hardware,SPINDLE BEARING,S35-646-1,085-6-646/1,51,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0242.webp
PGE-STK-0243,Stokes,328,Turret Hardware,LOWER PUNCH RETAINER,S35-899,A-293-899-6,51,R1C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0244,Stokes,328,Turret Hardware,SPINDLE CAP - LATE MODEL,S35-835,B-241-835-009,51,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0244.webp
PGE-STK-0245,Stokes,328,Turret Hardware,SPINDLE CLAMP RING,S35-837,B-241-837-001,51,R2C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0246,Stokes,328,Turret Hardware,"SET SCREW, LOWER PUNCH SUPPORT",S-4,01BD002A,51,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0246.webp
PGE-STK-0247,Stokes,328,Turret Hardware,RETAINING PIN - CORE ROD,RP-1,N/A,51,R3C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0248,Stokes,328,Turrets,STOCK PHOTO 45 STATION TURRET ASSEMBLY*,S35-45T,D-232-253-049,51,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0248.webp
PGE-STK-0249,Stokes,328,Turrets,STOCK PHOTO 33 STATION TURRET ASSEMBLY*,S35-33T,D-232-253-55,51,R3C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0250,Stokes,328,Turrets,STOCK PHOTO 45 STATION TURRET ASSEMBLY* - CORE ROD,S35-45T-CR,D-232-253-55,51,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0250.webp
PGE-STK-0251,Stokes,328,Upper Cam Tracks,UPPER LOWERING CAM - 33 STATION (EARLY MODEL),S35-823/1,D-232-823-002,51,R4C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0252,Stokes,328,Upper Cam Tracks,HOLD-DOWN CAM,S35-023,C-296-023-001,51,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0252.webp
PGE-STK-0253,Stokes,328,Upper Cam Tracks,HOLD-DOWN BAR (SET OF 2),S35-024,B-296-024-005,51,R5C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0254,Stokes,328,Upper Cam Tracks,HOLD-DOWN BAR (1 OF 2),S35-024/1,B-296-024-005,51,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0254.webp
PGE-STK-0255,Stokes,328,Upper Cam Tracks,HOLD DOWN BAR (2 OF 2),S35-024/2,B-296-024-005,51,R5C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0256,Stokes,328,Upper Cam Tracks,UPPER RAISING CAM - 45 STATION (EARLY MODEL),S35-822,D-232-822-001,52,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0256.webp
PGE-STK-0257,Stokes,328,Upper Cam Tracks,UPPER RAISING CAM - 33 STATION (EARLY MODEL),S35-822/1,D-232-822-002,52,R1C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0258,Stokes,328,Upper Cam Tracks,UPPER RAISING CAM - 33 STATION (LATE MODEL),S35-822/2,D-232-822-002,52,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0258.webp
PGE-STK-0259,Stokes,328,Upper Cam Tracks,UPPER RAISING CAM - 45 STATION (LATE MODEL),S35-822/6,D-232-822-006,52,R2C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0260,Stokes,328,Upper Cam Tracks,UPPER LOWERING CAM - 45 STATION (LATE MODEL),S35-823,D-232-823-007,52,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0260.webp
PGE-STK-0261,Stokes,328,Upper Cam Tracks,UPPER LOWERING CAM - 33 STATION (LATE MODEL),S35-823/2,N/A,52,R2C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0262,Stokes,328,Upper Cam Tracks,UPPER LOWERING CAM - 45 STATION EARLY MODEL- GRAVITY FEEDER ONLY,S35-823/3,N/A,52,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0262.webp
PGE-STK-0263,Stokes,328,Upper Cam Tracks,UPPER DWELL CAM - 45 STATION,S35-890,B-236-890-002,52,R3C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0264,Stokes,328,Upper Cam Tracks,UPPER DWELL CAM - 33 STATION,S35-890/1,B-236-890-001,52,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0264.webp
PGE-STK-0265,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER SHAFT (RIGHT SIDE),S35-819,A-233-819-002,52,R4C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0266,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER SHAFT (LEFT SIDE),S35-820,A-233-820-002,52,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0266.webp
PGE-STK-0267,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER SIDE PLATE,S35-372,A-233-372-002,52,R4C3,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0268,Stokes,328,Weight Adjusting Components,WEIGHT/PRESSURE ADJ. WHEEL SPRING,S-204,A-200-204-1,52,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0268.webp
PGE-STK-0269,Stokes,328,Weight Adjusting Components,ADJUSTING SCREW LOCK NUT,S35-011/A,01-FD-011-A,52,R5C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0270,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER WHEEL,S35-035,A-220-035-7,52,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0270.webp
PGE-STK-0271,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER BODY,S35-319,C-233-319-001,53,R1C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0272,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER BOTTOM PLATE,S35-320,A-233-320-002,53,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0272.webp
PGE-STK-0273,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER BEVEL PINION,S35-373,A-233-373-001,53,R1C3,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0274,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER BEVEL GEAR,S35-374,A-233-374-002,53,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0274.webp
PGE-STK-0275,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER CAM ASSEMBLY,S35-916,"D-236-916-1, D-236-916-2",53,R2C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0276,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER LEAD SCREW,S35-916A,D-236-916-1,53,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0276.webp
PGE-STK-0277,Stokes,328,Weight Adjusting Components,WEIGHT ADJUSTER CAM HEAD,S35-916B,D-236-916-1,53,R3C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0278,Stokes,340,Lower Cam Tracks,1/2 FILL CAM,S34-033,340-033-001,54,R1C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0279,Stokes,340,Lower Cam Tracks,3/4 FILL CAM,S34-034,340-034-002,54,R1C2,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0280,Stokes,340,Lower Cam Tracks,EJECTION CAM,S34-035,340-035-001F,54,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0280.webp
PGE-STK-0281,Stokes,340,Lower Cam Tracks,RAISING CAM,S34-058,D-340-059-1,54,R2C1,Visualization pending,/assets/images/parts/stokes-catalog/image-pending.svg
