sku,make,model,category,part_name,catalog_part_number,oem_number,catalog_page,grid_position,image_status,image_path
PGE-STK-0034,Stokes,328,Drive Components,COLLAR,S35-967,A-266-967-001,37,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0034.webp
PGE-STK-0035,Stokes,328,Drive Components,DRIVE TENSIONER,S-893,085-018-893,37,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0035.webp
PGE-STK-0036,Stokes,328,Drive Components,WOODRUFF KEY,SC-020,006-001-020,37,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0036.webp
PGE-STK-0037,Stokes,328,Drive Components,SET SCREW,SC-031,01-DR-031,37,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0037.webp
PGE-STK-0038,Stokes,328,Drive Components,LOCK PLATE,SC-051,013-002-051,37,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0038.webp
PGE-STK-0039,Stokes,328,Drive Components,RELEASE SPRING PIN,SC-055,013-002-055,37,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0039.webp
PGE-STK-0040,Stokes,328,Drive Components,SCREW FOR STEPPED DRIVE KEY,SC-058/1,013-002-058,37,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0040.webp
PGE-STK-0041,Stokes,328,Drive Components,BACK PLATE,SC-059,013-002-059,37,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0041.webp
PGE-STK-0042,Stokes,328,Drive Components,ADJUSTING LOCK PIN,SC-061,013-2-061,37,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0042.webp
PGE-STK-0043,Stokes,328,Drive Components,SNAP RING,SC-063,013-002-063,37,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0043.webp
PGE-STK-0044,Stokes,328,Drive Components,LOCK SCREW,SC-082,01-DC-082-A,37,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0044.webp
PGE-STK-0045,Stokes,328,Drive Components,ADJUSTING LOCK PIN SPRING,SC-146,013-2-146,37,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0045.webp
PGE-STK-0046,Stokes,328,Drive Components,CLUTCH DRIVING RING,SC-44,013-2-44,38,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0046.webp
PGE-STK-0047,Stokes,328,Drive Components,ADJUSTING RING,SC-45,013-002-045,38,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0047.webp
PGE-STK-0048,Stokes,328,Drive Components,CLUTCH HUB,SC-455,085-020-455,38,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0048.webp
PGE-STK-0049,Stokes,328,Drive Components,ENGAGING CONE,SC-456,085-20-456,38,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0049.webp
PGE-STK-0050,Stokes,328,Drive Components,FINGER LEVER,SC-461,085-020-461,38,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0050.webp
PGE-STK-0051,Stokes,328,Drive Components,DRIVING PLATE - FIBER,SC-48,013-002-048,38,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0051.webp
PGE-STK-0052,Stokes,328,Drive Components,DRIVEN PLATE - STEEL,SC-49,013-002-049,38,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0052.webp
PGE-STK-0053,Stokes,328,Drive Components,ROLLER RING,SC-50,013-2-50,38,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0053.webp
PGE-STK-0054,Stokes,328,Drive Components,CLUTCH SHIFTER LINK MOUNTING BOLT,SC-551/1,N/A,38,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0054.webp
PGE-STK-0055,Stokes,328,Drive Components,RELEASE SPRING,SC-56,013-2-56,38,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0055.webp
PGE-STK-0056,Stokes,328,Drive Components,STEPPED DRIVE KEY,SC-58,013-2-58,38,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0056.webp
PGE-STK-0057,Stokes,328,Drive Components,CLUTCH SHIFTER SHOE - PAIR,SC-65,B-248-565-1,38,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0057.webp
PGE-STK-0058,Stokes,328,Drive Components,CLUTCH SHIFTER SHAFT,SC-957,A-233-957-003,38,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0058.webp
PGE-STK-0059,Stokes,328,Drive Components,JACKSHAFT,S35-765,B-248-765-002,38,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0059.webp
PGE-STK-0060,Stokes,328,Drive Components,OIL SEAL - MAIN DRIVE WORM SHAFT,S35-782,085-6-782,38,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0060.webp
PGE-STK-0061,Stokes,328,Guarding,APRON - LEFT SIDE- INCLUDES APRON CHUTE INSERT,S35-406LA,N/A,39,R1C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0062,Stokes,328,Guarding,APRON - RIGHT SIDE INCLUDES APRON CHUTE INSERT,S35-406RA,N/A,39,R1C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0063,Stokes,328,Guarding,"APRON SEAL KEEPER, L.F & R.R",S-419,C-297-419-001,39,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0063.webp
PGE-STK-0064,Stokes,328,Guarding,UPPER GUARD SET COMPLETE- 328 NEW STYLE,S-UGS/2,N/A,39,R2C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0065,Stokes,328,Guarding,UPPER GUARD SET COMPLETE - 328 NEW STYLE,S-UGS1,N/A,39,R2C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0066,Stokes,328,Guarding,DOOR HOLDER,S-121,01-ZD-121,39,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0066.webp
PGE-STK-0067,Stokes,328,Guarding,GAS CYLINDER BRACKET - BOTTOM,S-188,B-297-188-001,39,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0067.webp
PGE-STK-0068,Stokes,328,Guarding,COVER PLATE,S35-017,B-297-017-002,39,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0068.webp
PGE-STK-0069,Stokes,328,Guarding,VIBRATION ISOLATOR,S35-107,30-HA-107,39,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0069.webp
PGE-STK-0070,Stokes,328,Guarding,ACCESS COVER,S35-151,A-290-151-001,39,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0070.webp
PGE-STK-0071,Stokes,328,Guarding,LOWER GUARD PLATE,S35-162,B-298-162-001,39,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0071.webp
PGE-STK-0072,Stokes,328,Guarding,ACCESS COVER GASKET,S35-234,A-294-234-001,39,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0072.webp
PGE-STK-0073,Stokes,328,Guarding,UPPER FRAME MOUNTING BOLT,S35-26-1,N/A,39,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0073.webp
PGE-STK-0074,Stokes,328,Guarding,UPPER FRAME COVER,S35-36,D-232-736-3,39,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0074.webp
PGE-STK-0075,Stokes,328,Guarding,"UPPER FRAME COVER PLUG - 1""-8 X 1.5""",S35-36-1,N/A,39,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0075.webp
PGE-STK-0076,Stokes,328,Guarding,INSPECTION COVER - REAR,S35-451,A-236-451-001,40,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0076.webp
PGE-STK-0077,Stokes,328,Guarding,INSPECTION COVER GASKET - REAR,S35-452,A-236-452-001,40,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0077.webp
PGE-STK-0078,Stokes,328,Guarding,INSPECTION COVER - SIDE,S35-475,A-236-475-002,40,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0078.webp
PGE-STK-0079,Stokes,328,Guarding,INSPECTION COVER GASKET - SIDE,S35-476,A-236-476-002,40,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0079.webp
PGE-STK-0080,Stokes,328,Guarding,LIMIT SWITCH ACTUATOR COLLAR,S35-621,A-297-621-001,40,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0080.webp
PGE-STK-0081,Stokes,328,Guarding,"APRON SEAL KEEPER, R.F &L.R",S-418,C-297-418-001,40,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0081.webp
PGE-STK-0082,Stokes,328,Guarding,GAS CYLINDER,S-802,08-GJ-002,40,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0082.webp
PGE-STK-0083,Stokes,328,Guarding,GAS CYLINDER BRACKET (TOP & BOTTOM),S-802/1,N/A,40,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0083.webp
PGE-STK-0084,Stokes,328,Guarding,GAS CYLINDER STUD,S-802-3,N/A,40,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0084.webp
PGE-STK-0085,Stokes,328,Guarding,GAS CYLINDER BRACKET - TOP,S-88,B-297-188-003,40,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0085.webp
PGE-STK-0086,Stokes,328,Guarding,APRON LEFT,S35-406-1,N/A,40,R4C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0087,Stokes,328,Guarding,APRON - RIGHT SIDE,S35-406R,N/A,40,R4C3,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0088,Stokes,328,Hydraulic & Lubrication Components,PULLEY - OIL PUMP,S-524,085-10-524,40,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0088.webp
PGE-STK-0089,Stokes,328,Hydraulic & Lubrication Components,OIL RESERVOIR,S35-632,D-241-632-008,40,R5C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0090,Stokes,328,Hydraulic & Lubrication Components,LUBRICATION MANIFOLD CLAMP,S-077,B-296-077-001,40,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0090.webp
PGE-STK-0091,Stokes,328,Hydraulic & Lubrication Components,OIL PRESSURE GAUGE - 15 P.S.I.,S-162,085-10-162,41,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0091.webp
PGE-STK-0092,Stokes,328,Hydraulic & Lubrication Components,OIL LEVEL WINDOW,S-165,085-7-165,41,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0092.webp
PGE-STK-0093,Stokes,328,Hydraulic & Lubrication Components,OIL FILTER ELEMENT,S-30,N/A,41,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0093.webp
PGE-STK-0094,Stokes,328,Hydraulic & Lubrication Components,OIL FILTER ASSEMBLY HEAD & ELEMENT,S-30H,N/A,41,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0094.webp
PGE-STK-0095,Stokes,328,Hydraulic & Lubrication Components,OIL SEAL - END PLATE,S35-026,085-026-212,41,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0095.webp
PGE-STK-0096,Stokes,328,Hydraulic & Lubrication Components,BELT FOR PUMP,S35-3,012-4-3,41,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0096.webp
PGE-STK-0097,Stokes,328,Hydraulic & Lubrication Components,WORM SPLASH GUARD,S35-4,B-247-644-1,41,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0097.webp
PGE-STK-0098,Stokes,328,Hydraulic & Lubrication Components,PISTON,S35-513,B-244-513-001,41,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0098.webp
