record_number,sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,image_position,photo_status,verification,review_notes,image_path
25,PGE-KIK-025,Kikusui,GEMINI,OPEN FEED FRAME,Product Control,KG-1J,J-01,7,R4C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-025.webp
26,PGE-KIK-026,Kikusui,GEMINI,MAIN WORM WHEEL ADJUST,Product Control,KG-20,R-20,7,R4C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-026.webp
27,PGE-KIK-027,Kikusui,GEMINI,THICKNESS CONTROL SHAFT,Product Control,KG-26,R-26,7,R4C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-027.webp
28,PGE-KIK-028,Kikusui,GEMINI,FEEDER PAN (‘D’ TOOLING),Product Control,KG-2F,AF-2,7,R5C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-028.webp
29,PGE-KIK-029,Kikusui,GEMINI,WEAR STRIP SET,Product Control,KG-2FWST,N/A,7,R5C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-029.webp
30,PGE-KIK-030,Kikusui,GEMINI,GUIDE RAIL,Product Control,KG-3,G-3,7,R5C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-030.webp
31,PGE-KIK-031,Kikusui,GEMINI,BRONZE WORM,Product Control,KG-38,R-38,8,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-031.webp
32,PGE-KIK-032,Kikusui,GEMINI,FEEDER PAN FOR SMALL TABLETS (‘B’ TOOLING),Product Control,KG-3F,AF-3,8,R1C2,Catalog photo,Reviewed — product-page value used,Index part name: FEEDER PAN (‘B’ TOOLING); pictured product page: FEEDER PAN FOR SMALL TABLETS (‘B’ TOOLING).,/assets/images/parts/kikusui/pge-kik-032.webp
33,PGE-KIK-033,Kikusui,GEMINI,MODIFIED FEEDER PAN WITH 11 MM SLOT,Product Control,KG-3F/1,AF-3,8,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-033.webp
34,PGE-KIK-034,Kikusui,GEMINI,SPRING HOUSING,Product Control,KG-3F-1,AF-3,8,R2C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-034.webp
35,PGE-KIK-035,Kikusui,GEMINI,WEAR STRIP SET,Product Control,KG-3FWST,N/A,8,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-035.webp
36,PGE-KIK-036,Kikusui,GEMINI,EXIT PLATE - DELRIN,Product Control,KG-3F-4,AF-3,8,R2C3,Catalog photo,Reviewed — product-page value used,Index part name: EXIT PLATE; pictured product page: EXIT PLATE - DELRIN.,/assets/images/parts/kikusui/pge-kik-036.webp
37,PGE-KIK-037,Kikusui,GEMINI,WEAR STRIP SET - THIN,Product Control,KG-3FWST/1,N/A,8,R3C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-037.webp
38,PGE-KIK-038,Kikusui,GEMINI,L.H. THICKNESS CONTROL BRACKET,Product Control,KG-45,R-45,8,R3C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-038.webp
39,PGE-KIK-039,Kikusui,GEMINI,R.H. THICKNESS CONTROL BRACKET,Product Control,KG-46,R-46,8,R3C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-039.webp
40,PGE-KIK-040,Kikusui,GEMINI,SAFETY CAM - VOLUME RAIL,Product Control,K-Q-005,014-Q-005,8,R4C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-040.webp
41,PGE-KIK-041,Kikusui,GEMINI,SHAFT ADJ WORM W/KEY,Product Control,K-R-026,R-026,8,R4C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-041.webp
42,PGE-KIK-042,Kikusui,GEMINI,SPRING HOUSING ASSEMBLY,Product Control,KG-3F-1A,N/A,8,R4C3,Catalog photo,Reviewed — product-page value used,Index part name: SPRING HOUSING; pictured product page: SPRING HOUSING ASSEMBLY.,/assets/images/parts/kikusui/pge-kik-042.webp
43,PGE-KIK-043,Kikusui,GEMINI,SPRING RETAINER FOR FEEDER PAN,Product Control,KG-3F-2,AF-3,8,R5C1,Catalog photo,Reviewed — product-page value used,Index part name: SPRING RETAINER; pictured product page: SPRING RETAINER FOR FEEDER PAN.,/assets/images/parts/kikusui/pge-kik-043.webp
44,PGE-KIK-044,Kikusui,GEMINI,RAIL LOWER PUNCH DISCHARGE,Product Control,K-G-24,G-24,8,R5C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-044.webp
45,PGE-KIK-045,Kikusui,GEMINI,UPPER DUST NOZZLE,Product Control,KG-JC-95-1,JC-95,8,R5C3,Photo not available,Verified — index and product page agree,,
46,PGE-KIK-046,Kikusui,GEMINI,HOPPER WINDOW FRAME,Product Control,KG-N-13,N/A,9,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-046.webp
47,PGE-KIK-047,Kikusui,GEMINI,55 STATION TURRET ASSEMBLY*,Turrets,KG-55T,N/A,9,R1C2,Stock photo,Reviewed — product-page value used,Index part name: 55 STATION TURRET; pictured product page: 55 STATION TURRET ASSEMBLY*.,
48,PGE-KIK-048,Kikusui,GEMINI,67 STATION TURRET ASSEMBLY*,Turrets,KG-67T,N/A,9,R1C3,Stock photo,Reviewed — product-page value used,Index part number: KG-67; pictured product page: KG-67T.,
49,PGE-KIK-049,Kikusui,GEMINI,67 STATION TURRET ASSEMBLY*,Turrets,KG-67T/A,N/A,9,R2C1,Stock photo,Verified — index and product page agree,,
50,PGE-KIK-050,Kikusui,GEMINI,DIE LOCK SCREW,Turret Hardware,DL-11,D37-3,9,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-050.webp
51,PGE-KIK-051,Kikusui,GEMINI,UPPER/LOWER PUNCH GUIDE SEAL “B” TOOLING,Turret Hardware,K-75N,N/A,9,R2C3,Catalog photo,Reviewed — product-page value used,Index part name: PUNCH GUIDE SEAL “B” TOOLING; pictured product page: UPPER/LOWER PUNCH GUIDE SEAL “B” TOOLING.,/assets/images/parts/kikusui/pge-kik-051.webp
52,PGE-KIK-052,Kikusui,GEMINI,PIVOT PIN,Turret Hardware,K-G-025,014-G-025,9,R3C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-052.webp
53,PGE-KIK-053,Kikusui,GEMINI,LOWER SEAL PLATE,Turret Hardware,KG-67LP85/QT,N/A,9,R3C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-053.webp
54,PGE-KIK-054,Kikusui,GEMINI,LOWER SEAL PLATE,Turret Hardware,KG-67LP91/QT,N/A,9,R3C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-054.webp
55,PGE-KIK-055,Kikusui,GEMINI,UPPER LOWERING CAM - BRONZE,Upper Cam Tracks,K-G-7,G-7,9,R4C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-055.webp
56,PGE-KIK-056,Kikusui,GEMINI,UPPER LOWERING CAM - BRONZE,Upper Cam Tracks,K-G-46,G-46,9,R4C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-056.webp
57,PGE-KIK-057,Kikusui,GEMINI,UPPER RAISING CAM - BRONZE,Upper Cam Tracks,K-G-6,G-6,9,R4C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-057.webp
58,PGE-KIK-058,Kikusui,GEMINI,UPPER RAISING CAM “D”,Upper Cam Tracks,K-G-10,G-10,9,R5C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-058.webp
59,PGE-KIK-059,Kikusui,GEMINI,UPPER PUNCH PRE MAIN TRANSFER RAIL,Upper Cam Tracks,KG-G-9,G-10,9,R5C2,Catalog photo,Reviewed — product-page value used,Index oem number: (blank); pictured product page: G-10.,/assets/images/parts/kikusui/pge-kik-059.webp
60,PGE-KIK-060,Kikusui,GEMINI 855,AGITATOR MAIN DRIVE SHAFT UPPER,Drive Components,KG-AF-74,N/A,10,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-060.webp
61,PGE-KIK-061,Kikusui,GEMINI 855,DOWN GUIDE 4-11MM FILL CAM GREASE TSM B,Lower Cam Tracks,K-G-28-4/1,N/A,10,R1C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-061.webp
62,PGE-KIK-062,Kikusui,GEMINI 855,DOWN GUIDE 9-16MM FILL CAM GREASE TSM B,Lower Cam Tracks,K-G-29-4/1,N/A,10,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-062.webp
63,PGE-KIK-063,Kikusui,GEMINI 855,LUBE FELT TSM B,Lower Cam Tracks,KG-48-1-1-QT,N/A,10,R2C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-063.webp
64,PGE-KIK-064,Kikusui,GEMINI 855,DOWN GUIDE - 1-8MM FAST FILL CAM - GREASE- TSM “B”,Lower Cam Tracks,K-G-18-4/1-FT,N/A,10,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-064.webp
65,PGE-KIK-065,Kikusui,GEMINI 855,DOWN GUIDE - 4-11MM FAST FILL CAM - GREASE - TSM “B”,Lower Cam Tracks,K-G-28-4/1-FT,N/A,10,R2C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-065.webp
66,PGE-KIK-066,Kikusui,GEMINI 855,LOWERING SAFETY RAIL BASE WITH LUBE,Lower Cam Tracks,KG-G-48,N/A,10,R3C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-066.webp
67,PGE-KIK-067,Kikusui,GEMINI 855,DE-AERATION FLANGE SEAL,Miscellaneous,KG-AF-71-1,N/A,10,R3C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-067.webp
68,PGE-KIK-068,Kikusui,GEMINI 855,BASE OF UPWARD GUIDE RAIL BRACKET,Other,KG-G-16-1,N/A,10,R3C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-068.webp
69,PGE-KIK-069,Kikusui,GEMINI 855,SETTING PLATE FOR ROLL BEARING,Pressure Rolls & Components,KG-R-4,N/A,10,R4C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-069.webp
70,PGE-KIK-070,Kikusui,GEMINI 855,COLLAR FOR ROLL SHAFT,Pressure Rolls & Components,KG-R-8,N/A,10,R4C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-070.webp
71,PGE-KIK-071,Kikusui,GEMINI 855,LOAD CELL TENSION BRACKET,Pressure Rolls & Components,KG-AW-9,N/A,10,R4C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-071.webp
72,PGE-KIK-072,Kikusui,GEMINI 855,UPPER/LOWER ROLL,Pressure Rolls & Components,KG-R-1,N/A,10,R5C1,Catalog photo,Reviewed — product-page value used,Index oem number: R-1; pictured product page: N/A.,/assets/images/parts/kikusui/pge-kik-072.webp
73,PGE-KIK-073,Kikusui,GEMINI 855,FLANGE FOR LOWER ROLL SHAFT,Pressure Rolls & Components,KG-R-14,N/A,10,R5C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-073.webp
74,PGE-KIK-074,Kikusui,GEMINI 855,LOWER ROLL SHAFT KEY,Pressure Rolls & Components,K-R6-1,N/A,10,R5C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-074.webp
75,PGE-KIK-075,Kikusui,GEMINI 855,UPPER ROLL SHAFT KEY,Pressure Rolls & Components,KG-AW-1-1,N/A,11,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-075.webp
