record_number,sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,image_position,photo_status,verification,review_notes,image_path
103,PGE-KIK-103,Kikusui,GEMINI 867,SCRAPING DUMPBER,Product Control,KG-AF-76,N/A,13,R4C2,Catalog photo,Reviewed — product-page value used,Index part name: SCRAPING DUMPER; pictured product page: SCRAPING DUMPBER.,/assets/images/parts/kikusui/pge-kik-103.webp
104,PGE-KIK-104,Kikusui,GEMINI 867,VOLUME RAIL - FAST TRACK,Product Control,KG-1-4-FT,N/A,13,R4C3,Photo not available,Verified — index and product page agree,,
105,PGE-KIK-105,Kikusui,GEMINI 867,DOSING ADJUSTMENT HOUSING,Product Control,KG-528,N/A,13,R5C1,Photo not available,Verified — index and product page agree,,
106,PGE-KIK-106,Kikusui,GEMINI 867,DOSING ADJUSTMENT HOUSING BASE,Product Control,KG-786,N/A,13,R5C2,Photo not available,Verified — index and product page agree,,
107,PGE-KIK-107,Kikusui,GEMINI 867,FEEDER INPUT SHAFT,Product Control,KG-AF-83,N/A,13,R5C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-107.webp
108,PGE-KIK-108,Kikusui,GEMINI 867,CHUTE ENTRANCE PLATE,Product Control,KG-AW-51/2-3,N/A,14,R1C1,Photo not available,Verified — index and product page agree,,
109,PGE-KIK-109,Kikusui,GEMINI 867,CHUTE DIVIDER,Product Control,KG-AW-51/2-6,N/A,14,R1C2,Photo not available,Verified — index and product page agree,,
110,PGE-KIK-110,Kikusui,GEMINI 867,WEAR STRIPS FOR POWDER BAND,Product Control,KG-JC-50,N/A,14,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-110.webp
111,PGE-KIK-111,Kikusui,GEMINI 867,VACUUM PLATE,Product Control,KG-JC-95-3,N/A,14,R2C1,Photo not available,Verified — index and product page agree,,
112,PGE-KIK-112,Kikusui,HERCULES,LOWER PUNCH SAFETY RAIL,Lower Cam Tracks,K-34,Q-34,15,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-112.webp
113,PGE-KIK-113,Kikusui,HERCULES,FILL CAM TSM “D” 16MM,Lower Cam Tracks,K-G-50,G-50,15,R1C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-113.webp
114,PGE-KIK-114,Kikusui,HERCULES,UPPER/LOWER MAIN COMPRESSION ROLL,Pressure Rolls & Components,KH-RR-102,N/A,15,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-114.webp
115,PGE-KIK-115,Kikusui,HERCULES,UPPER/LOWER MAIN COMPRESSION ROLL END CAP,Pressure Rolls & Components,KH-RR-102-1,N/A,15,R2C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-115.webp
116,PGE-KIK-116,Kikusui,HERCULES,UPPER/LOWER PRE-COMPRESSION ROLL,Pressure Rolls & Components,KH-RR-302,N/A,15,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-116.webp
117,PGE-KIK-117,Kikusui,HERCULES,UPPER/LOWER PRE- COMPRESSION ROLL END CAP,Pressure Rolls & Components,KH-RR-302-1,N/A,15,R2C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-117.webp
118,PGE-KIK-118,Kikusui,HERCULES,DISCHARGE RAIL,Product Control,KH-20,N/A,15,R3C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-118.webp
119,PGE-KIK-119,Kikusui,LIBRA,EJECTION CAM,Lower Cam Tracks,KL-23,G-7,16,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-119.webp
120,PGE-KIK-120,Kikusui,LIBRA,UPPER COMPRESSION SHAFT,Pressure Rolls & Components,K-AWI,N/A,16,R1C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-120.webp
121,PGE-KIK-121,Kikusui,LIBRA,UPPER PRE-COMPRESSION. SHAFT,Pressure Rolls & Components,K-R55,R55,16,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-121.webp
122,PGE-KIK-122,Kikusui,LIBRA,UPPER/LOWER PRE-MAIN ROLL SHAFT,Pressure Rolls & Components,K-R6,"014-R-006, R6",16,R2C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-122.webp
123,PGE-KIK-123,Kikusui,LIBRA,LOWER MAIN COMPRESSION ROLL SHAFT.,Pressure Rolls & Components,K-R7,R7,16,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-123.webp
124,PGE-KIK-124,Kikusui,LIBRA,LOWER PRE-COMPRESSION SHAFT,Pressure Rolls & Components,K-R8,R8,16,R2C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-124.webp
125,PGE-KIK-125,Kikusui,LIBRA,DISCHARGE RAIL,Product Control,KL-17,G-17,16,R3C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-125.webp
126,PGE-KIK-126,Kikusui,LIBRA,FEEDER PAN,Product Control,KL-1F,AF-1,16,R3C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-126.webp
127,PGE-KIK-127,Kikusui,LIBRA,FEEDER PAN (300 SERIES STAINLESS),Product Control,KL-1F/1,AF-1,16,R3C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-127.webp
128,PGE-KIK-128,Kikusui,LIBRA,MODIFIED FEEDER PAN WITH 11 MM SLOT,Product Control,KL-1F/2,N/A,16,R4C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-128.webp
129,PGE-KIK-129,Kikusui,LIBRA,WEAR STRIP SET,Product Control,KL-1F/WST,N/A,16,R4C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-129.webp
130,PGE-KIK-130,Kikusui,LIBRA,FEEDER FRAME UPPER SECTION - 1 PIECE,Product Control,KL-1F40,AF1-01040,16,R4C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-130.webp
131,PGE-KIK-131,Kikusui,LIBRA,FEEDER FRAME UPPER - 2 PIECE SECTION,Product Control,KL-1F40/2,AF1-01040,16,R5C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-131.webp
132,PGE-KIK-132,Kikusui,LIBRA,DRIVE SHAFT,Product Control,KL-42,AF-42,16,R5C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-132.webp
133,PGE-KIK-133,Kikusui,LIBRA,FEED FRAME WITH WEAR STRIP,Product Control,KL-J010,N/A,16,R5C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-133.webp
134,PGE-KIK-134,Kikusui,LIBRA,TABLET KNOCK-OFF ASSEMBLY,Product Control,K-W20,OA-W-20,17,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-134.webp
135,PGE-KIK-135,Kikusui,LIBRA,FEEDER PAN - WIDE STRIP,Product Control,KL-1F-WS,AF-1,17,R1C2,Photo not available,Verified — index and product page agree,,
136,PGE-KIK-136,Kikusui,LIBRA,WEAR STRIP - FEEDER PAN,Product Control,KL-J010/WST,N/A,17,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-136.webp
137,PGE-KIK-137,Kikusui,LIBRA,WEAR STRIP SET INCLUDES EXIT PLATE,Product Control,KL-1F/2WST,N/A,17,R2C1,Photo not available,Verified — index and product page agree,,
138,PGE-KIK-138,Kikusui,LIBRA,DIE LOCK SCREW,Turret Hardware,DL-11,D37-3,17,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-138.webp
139,PGE-KIK-139,Kikusui,LIBRA,PUNCH GUIDE SEAL “B” TOOLING,Turret Hardware,K-75N,N/A,17,R2C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-139.webp
140,PGE-KIK-140,Kikusui,LIBRA,DIE LOCK ASSEMBLY,Turret Hardware,DL-40,N/A,17,R3C1,Photo not available,Verified — index and product page agree,,
141,PGE-KIK-141,Kikusui,LIBRA,36 STATION TURRET ASSEMBLY* - NEW STYLE (BOLT ON MOUNT),Turrets,KL-36T/1,N/A,17,R3C2,Stock photo,Reviewed — product-page value used,Index part name: 36 STATION TURRET - NEW STYLE (BOLT ON MOUNT); pictured product page: 36 STATION TURRET ASSEMBLY* - NEW STYLE (BOLT ON MOUNT).,
142,PGE-KIK-142,Kikusui,LIBRA,36 STATION TURRET ASSEMBLY* - (OLD STYLE KEYED ON MOUNT),Turrets,KL-36T,N/A,17,R3C3,Stock photo,Reviewed — product-page value used,Index part name: 36 STATION TURRET - (OLD STYLE (KEYED ON MOUNT); pictured product page: 36 STATION TURRET ASSEMBLY* - (OLD STYLE KEYED ON MOUNT).,
143,PGE-KIK-143,Kikusui,NEW GEMINI,SENSOR BRACKET,Other,KG-EL-SB1,N/A,18,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-143.webp
144,PGE-KIK-144,Kikusui,NEW GEMINI,UPPER PUNCH GUIDE RAIL COVER,Upper Cam Tracks,KG-Q-60,N/A,18,R1C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-144.webp
145,PGE-KIK-145,Kikusui,NEW GEMINI,UPPER PUNCH GUIDE RAIL COVER - LUBE SIDE,Upper Cam Tracks,KG-Q-61,N/A,18,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-145.webp
146,PGE-KIK-146,Kikusui,NEW GEMINI 855,SAFETY CAM FOR UPWARD GUIDE RAIL- BRONZE,Lower Cam Tracks,K-G-20,G-20,19,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-146.webp
